"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",12,0.874690547276126,5.10447036168928,3.00549169284345,-974.000392586096,0.742829689164985,16,1042.655,"x6","x10","x10*x6",1,0.999999999998256,0.99999999999798
"P2",12,0.761209647828257,9.17384342885547,4.10990358701262,-983.454363241677,0.169342282856071,17,925.576000000001,"x6*(x5*x11)","exp_dbl(x8*x13)","x6*x6",1,1,0.999999999999999
"P3",12,0.853026660473043,5.4401268869743,3.25400394194961,-983.624384398424,0.707895992270054,22,1053.345,"(exp_dbl(x13)*x9)*x10","x11*x6","x6*x13",1,0.999999999861153,0.999999995382626
"P4",12,0.900878176672351,4.38060947316674,2.77162779061098,-970.846799890009,0.810596267684234,18,977.597000000009,"p0(x13)*x9","x6","p0(x6)",1,0.999999999999997,0.999999999969144
"P5",12,0.868033276356426,5.22860973753894,3.09520823287756,-968.673627127282,0.730168957327976,17,1056.508,"x9*sigmoid(x13)","x9*x6","x11",1,0.999999999999998,0.999999999999997
"P6",12,0.863004666918735,5.11375983026506,3.33005283647085,-1011.47214660581,0.741892804762404,11,788.826000000001,"x6*x11","troot(x13)","x8",1,1,0.999999999886112
