"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S2",9,FALSE,FALSE,FALSE,FALSE,3,0.788552607527299,0.788552607527299,0.11289465191736,3,531.362999999999,"troot(x4*x4)","x4*x3","x4"
"S2",10,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447349745867556,2,630.051,"x9*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","NA"
"S2",11,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804068816451135,1,633.696999999998,"troot(x4*x4)*x9","NA","NA"
"S2",12,FALSE,FALSE,FALSE,FALSE,3,0.736363219253692,0.736363219253692,0.0432534991570423,3,570.16,"troot(x4*x4)","x9*troot(x4*x4)","x2*x4"
"S2",13,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.111728849764321,3,584.862000000001,"troot(x4*x4)","x2*x4","x4"
"S2",14,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.04473737206101,2,616.452000000001,"(troot(x4)*troot(x4))*x9","troot(x4)*troot(x4)","NA"
"S2","Mod",FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147218247700655,2,326.852,"troot(x4*x4)","x4","NA"
"S2","Mod",FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0525963737011178,3,236.324,"troot(x4*x4)","x9*troot(x4*x4)","x4"
"S2",17,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.143212862472253,2,524.016,"troot(x4*x4)","x4","NA"
"S2",18,FALSE,FALSE,FALSE,FALSE,3,0.99363356695225,0.99363356695225,0.135981666786198,3,513.761999999999,"pm05(x4)*x4","x4","x7*x4"
"S2",19,FALSE,FALSE,FALSE,FALSE,3,0.982552927440527,0.982552927440527,0.12004685183357,3,524.092999999997,"x4","x4*x4","x10*x4"
"S2",20,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447410152197344,2,567.057999999997,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"S2",21,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0441504196698321,3,556.206999999999,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","x4"
"S2",22,FALSE,FALSE,FALSE,FALSE,1,0.999279067088231,0.999279067088231,0.111751932166953,1,746.069,"pm05(pm05(p3(x4)))","NA","NA"
"S2",23,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0805675326153184,1,638.792999999998,"troot((x4*x4)*x9)","NA","NA"
"S2",24,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0882146721584187,1,493.615999999998,"troot((x4*x9)*x4)","NA","NA"
"S2",25,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0882155177386527,1,568.577000000001,"troot((x9*x4)*x4)","NA","NA"
"S2",26,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0444422643466913,2,549.488999999998,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S2","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.04480259362126,2,200.827,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S2","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447919916336623,2,327.576,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S2","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.044737373917445,2,431.167,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S2",30,FALSE,FALSE,FALSE,FALSE,3,0.736363219253692,0.736363219253692,0.043269908255679,3,585.977999999999,"troot(x4*x4)","x9*troot(x4*x4)","x4*x2"
"S3",1,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.08821454157713,1,593.318000000003,"troot(x4*(x4*x9))","NA","NA"
"S3",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804065609354897,1,458.620000000003,"x9*troot(x4*x4)","NA","NA"
"S3",3,FALSE,FALSE,FALSE,FALSE,2,0.686399262445923,0.686399262445923,0.112296115770088,2,418.974000000002,"troot(x4*x4)","x3*x4","NA"
"S3",4,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0865269086967665,1,487.595999999998,"troot(x4*(x9*x4))","NA","NA"
"S3",5,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0534942592991295,3,485.511999999999,"troot(x4*x4)","x9*troot(x4*x4)","x4"
"S3",6,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0525829273651613,3,495.977999999999,"troot(x4*x4)","x9*troot(x4*x4)","x4"
"S3",7,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147262693309248,2,486.139999999999,"troot(x4*x4)","x4","NA"
"S3",8,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322345404479157,1,470.789999999997,"troot(x4*(x6*x4))","NA","NA"
"S3",9,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447896159404552,2,481.698,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"S3",10,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0450314998878466,2,439.249,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S3",11,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0882224931716848,1,449.581000000006,"troot(x9*(x4*x4))","NA","NA"
"S3",12,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.145263029634517,2,434.150999999998,"troot(x4*x4)","x4","NA"
"S3",13,FALSE,FALSE,FALSE,FALSE,2,0.994020528242907,0.994020528242907,0.15164838194625,2,523.667000000001,"x4","x4*pm05(x4)","NA"
"S3",14,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804069917833667,1,527.700000000004,"troot(x4*x4)*x9","NA","NA"
"S3",15,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.146893785850784,2,513.106,"troot(x4*x4)","x4","NA"
"S3",16,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0803776609624741,1,474.610999999997,"troot(x4*x4)*x9","NA","NA"
"S3",17,FALSE,FALSE,FALSE,FALSE,1,0.999998748873912,0.999998748873912,0.0676544575215643,1,462.695,"troot(x7*((x9*x4)*x4))","NA","NA"
"S3",18,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.111588625119552,3,440.601999999999,"troot(x4*x4)","x2*x4","x4"
"S3",19,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0918663704806147,1,458.278000000006,"x9*troot(x4*x4)","NA","NA"
"S3",20,FALSE,FALSE,FALSE,FALSE,1,0.999999312170039,0.999999312170039,0.154212179218109,1,504.362999999998,"troot(x4*x4)","NA","NA"
"S3",21,FALSE,FALSE,FALSE,FALSE,4,0.982905924738131,0.982905924738131,0.0881253849789155,4,491.123,"x4","x4*x4","x10*x4"
"S3",22,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804071566427178,1,482.006000000001,"x9*(troot(x4)*troot(x4))","NA","NA"
"S3","Mod",FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804163313904179,1,395.159,"x9*troot(x4*x4)","NA","NA"
"S3",24,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447348371461394,2,492.717000000004,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S3",25,FALSE,FALSE,FALSE,FALSE,1,0.999999312170039,0.999999312170039,0.155975566046793,1,509.840000000004,"troot(x4*x4)","NA","NA"
"S3",26,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0444447130280002,2,531.125,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S3",27,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0800961193438544,1,437.142,"troot(x4*x4)*x9","NA","NA"
"S3",28,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0803678629693705,1,450.614000000001,"troot(x4*x4)*x9","NA","NA"
"S3",29,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147263672498019,2,498.036,"troot(x4*x4)","x4","NA"
"S3",30,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0882144437479717,1,479.298999999999,"troot(x9*(x4*x4))","NA","NA"
"S4",1,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.080415668450591,1,546.533000000003,"x9*troot((x4*x4))","NA","NA"
"S4",2,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147208883071534,2,522.305,"troot(x4*x4)","x4","NA"
"S4",3,FALSE,FALSE,FALSE,FALSE,1,0.999999246431937,0.999999246431937,0.157098338458641,1,515.808000000005,"troot(1+(x4*x4))","NA","NA"
"S4",4,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147155310040384,2,565.856,"troot(x4*x4)","x4","NA"
"S4",5,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0805121847320409,1,636.997000000003,"troot(x4*x4)*x9","NA","NA"
"S4",6,FALSE,FALSE,FALSE,FALSE,4,0.979734028572804,0.979734028572804,0.0713732101463567,4,655.080000000002,"x4","x4*x4","x10*x4"
"S4",7,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0803563664993888,1,597.212999999996,"troot(x4*x4)*x9","NA","NA"
"S4",8,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147245071506547,2,649.519,"troot(x4*x4)","x4","NA"
"S4",9,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.052286843312047,3,640.668000000005,"troot(x4*x4)","troot(x4*x4)*x9","x4"
"S4",10,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447352992619413,2,692.519,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"S4",11,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.15688146338568,2,637.936999999998,"troot(x4*x4)","x4","NA"
"S4",12,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447373826867198,2,734.340000000004,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"S4","Mod",FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0445904506274315,1,454.55,"troot(x7*(x4*x4))","NA","NA"
"S4",14,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.052587074267071,3,686.105000000003,"troot(x4*x4)","x9*troot(x4*x4)","x4"
"S4",15,FALSE,FALSE,FALSE,FALSE,1,0.999999312170039,0.999999312170039,0.15691974847601,1,732.798999999999,"troot(x4*x4)","NA","NA"
"S4",16,FALSE,FALSE,FALSE,FALSE,2,0.994020528242907,0.994020528242907,0.153172985998449,2,683.023000000001,"x4","pm05(x4)*x4","NA"
"S4",17,FALSE,FALSE,FALSE,FALSE,2,0.686399262445923,0.686399262445923,0.112448787069871,2,639.964,"troot(x4*x4)","x4*x3","NA"
"S4",18,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.044737382178639,2,640.319000000003,"troot(x4*x4)*x9","troot(x4*x4)","NA"
