"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S6",26,0.772242028653933,1.50412921143957,2.04890190594535,6507.476,"x4","sin(x4*sigmoid(x5))","(exp_dbl(x5)*troot(x7))*troot(1+x1)","exp_dbl(x6)","x1"
"S1",27,0.77558586257971,1.47759952676983,2.03650609294747,6707.125,"exp_dbl(x5)","x4","x5","x8","troot(x7)"
"S2",27,0.773834041937281,1.48354133126426,2.04254435153306,7271.779,"x4","x6","x8","x9","sin(x5)*x5"
"S3",27,0.762909850407277,1.50334411462545,2.08404845630886,6670.262,"p3(x5)","troot(x7)*p3(x5)","x4","x5","x3*(x9*x6)"
"S4",27,0.77257019036774,1.48374376707267,2.04815163715831,7147.983,"x6","exp_dbl(x5)","x4","x5","troot(x7*sigmoid(1+x7))"
"S5",27,0.770264494864786,1.48329905460641,2.05504115204672,7025.036,"sin(x6)","x4","x5","p0(p3(x4))","x9"
"S6",27,0.770232944795302,1.49120378070561,2.0567457149988,6548.957,"x4","x5","x6","x9","exp_dbl(x5)"
"S1",28,0.769309144340218,1.48693185440646,2.06051150871588,7123.255,"exp_dbl(x4)*p3(x5)","x3","x5","x8","x9"
"S2",28,0.772001858612732,1.50089435920404,2.05045107143318,7117.033,"x5*x4","x4","troot(x3)","x5","x4*(x5*x4)"
"S3",28,0.766581719047279,1.49328933596108,2.06953555723939,6157.989,"p3(x5)","x3","x4","x5","x6"
"S4",28,0.770881460998507,1.48879923461822,2.0540963837842,6140.982,"x4","x6","x8","x9","x3*x3"
"S5",28,0.771513497504968,1.4855706039298,2.051898559724,6776.963,"exp_dbl(x5)","sin(exp_dbl(x5))","x8","(x4*exp_dbl(x5))*exp_dbl(x5)","troot(x3)"
"S6",28,0.774283292404798,1.47872699195616,2.04073770229056,6269.663,"sin(exp_dbl(x4))","x7","x8","x9","exp_dbl(x5)"
"S1",29,0.729562769676025,1.52206277796524,2.2103529846028,6664.847,"exp_dbl(x4)","p3(p3(x5*exp_dbl(x7))*exp_dbl(x4))","troot(x3)","exp_dbl(troot(troot(1+(x6+x5))))","x7"
"S2",29,0.768203393748385,1.48635648667002,2.0651989764575,6831.742,"x4","x9","exp_dbl(x5)","(x1*x6)*exp_dbl(x7)","x5"
"S3",29,0.772722828383132,1.48561033466131,2.04749060048787,6685.683,"p0(1+x4)","exp_dbl(exp_dbl(x5)*x5)","p0(x4)*x5","x9","troot(x3)"
"S4",29,0.771744065437322,1.48210096489057,2.05145789129799,6978.167,"x8","x9","troot(x4)*(x5*x5)","x5","troot(x4)"
"S5",29,0.774282294736256,1.47619467373624,2.04141547799636,7143.767,"p3(exp_dbl(x7))","x6","sin(exp_dbl(x5))","x9","x5*exp_dbl(x5)"
"S6",29,0.768026006537199,1.49341501340193,2.0657295101099,7215.751,"troot(x5)*x4","x5","x6","x9","troot(exp_dbl(troot(x7)))"
"S1",3,0.773470725524924,1.4796886249542,2.04428372521585,6360.563,"sin(x3)","x4","x8","x9","p0(x7)*x3"
"S2",3,0.772274332029665,1.48283095118289,2.04839551518207,7162.293,"x9","x7","x5","x3","exp_dbl(x5)"
"S3",3,0.763737857177185,1.49309312281903,2.08103743680008,6380.597,"troot(x4)","x4","x6","x7","x8"
"S4",3,0.7708606184239,1.48713957361037,2.0541213174659,7156.571,"x4","x7","x8","x9","x4*sin(x5)"
"S5",3,0.773762515132088,1.47264601268063,2.04371642858468,7025.801,"x4*x5","x4","p0(x5)","x5*x5","sin(x9)*x5"
