"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",25,TRUE,FALSE,FALSE,FALSE,6,0.542896205159276,0.466712239352488,2.02764925868195e+256,687.914827432204,-Inf,7,NA,"troot((x6*x4)*x4)","x4","x4*x9",0.999973251268654,0.995612072356455,0.504382441257052
"P2",25,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000830818722539518,682.554649827531,0.999999890116087,3,NA,"troot(x4)*troot(x6*x4)","x6*x4","x4",0.999702980766031,0.999702965424177,0.999689973799968
"P3",25,FALSE,FALSE,FALSE,FALSE,13,0.751846847110331,0.751846847110331,0.0030020863188371,593.056056721957,0.999995348501859,13,NA,"x4*x6","x4*x9","p3(p0(x4))*x4",0.99999999998181,0.999999999923367,0.990003513187916
"P4",25,FALSE,TRUE,FALSE,FALSE,4,0.592525103233992,0.490656467178319,0.00160890304049741,698.915048366661,0.999999779727706,5,NA,"troot((x4*x9)*x4)","p3(x5)","troot(x4*x4)",0.999986736744461,0.999986736744459,0.999986707099469
"P5",25,FALSE,TRUE,FALSE,TRUE,3,0.580897019219579,0.301495509073629,1.23753819671193e+292,672.278453144079,-Inf,5,NA,"troot(x4*x4)","troot(x9*(x4*x4))","troot((x4*x4)*x7)",1,1,0.999999999999996
"P6",25,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,1.09475538390963e+268,687.881431327977,-Inf,3,NA,"troot(x4*(x6*x4))","x4","x4*x7",1,0.981421392349055,0.976322591028189
