"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"589_fri_c2_1000_25",1000,26,"S1",9,0.962733904022888,0.0401389632576252,0.055055107027211,938.576795481074,0.926770076071524,24,1753.34599999996,"sin_deg(x1)","x4","x2*(x1*p3(x2))",1,1,1
"590_fri_c0_1000_50",1000,51,"S1",9,0.977618932323985,0.0309307688729271,0.0378497168228716,1262.4682740974,0.955465860668536,16,1744.58900000004,"(x1*x2)*x2","p2(x2)","sin_deg(sin_deg(1+(x5+(1+1))))",1,1,1
"591_fri_c1_100_10",100,11,"S1",9,0.582325674554781,0.155045474667567,0.216016219219724,19.6162182299765,0.0518026646676206,6,365.064000000013,"sin_deg(x1)","x1","x5",0.999229206424485,0.993878496827603,0.993181050246014
"592_fri_c4_1000_25",1000,26,"S1",9,0.948351692236925,0.0447605741011489,0.0578342149764487,1006.8360211038,0.898063011871216,16,1557.04600000003,"troot(p3(x1))","p2(x3)","x2*x2",1,1,1
"593_fri_c1_1000_10",1000,11,"S1",9,0.955850022738095,0.0484030993391439,0.0594618907206213,815.010876743262,0.911774837020059,15,1575.03599999996,"sin_deg(x4)","x5","cos_deg(x2)",1,1,1
"594_fri_c2_100_5",100,6,"S1",9,0.718577481565727,0.147565695329316,0.179466344385381,16.6855563598977,0.496741726274651,9,396.675000000047,"x2","x4*x3","x4",0.999995868527053,0.996323829259942,0.699312937689654
"595_fri_c0_1000_10",1000,11,"S1",9,0.976912885813668,0.033728872290055,0.0409047946842737,1249.55363685113,0.952955976605667,11,1426.73000000004,"x5","p3(x1+x2)","x4",1,1,1
"596_fri_c2_250_5",250,6,"S1",9,0.824323305644567,0.113096015790868,0.135496597309751,77.3970001018041,0.672129148663638,9,690.013999999966,"p3(x2)","sin_deg(x2)","x5",0.999999999995334,0.999999999966142,0.999998990039295
"597_fri_c2_500_5",500,6,"S1",9,0.793754764347086,0.0964763725937842,0.129768038305396,193.637958557422,0.613899574203295,8,1013.96499999997,"p3(x2)","x5","troot(x2)",1,0.999999999976409,0.999999755001866
"598_fri_c0_1000_25",1000,26,"S1",9,0.983239849570868,0.0294911461628544,0.0375058849542807,1234.58332138826,0.966425454166153,19,1356.39499999996,"(x1*x2)*x2","p2(x3)","sin_deg(p2(x1))",1,1,1
"599_fri_c2_1000_5",1000,6,"S1",9,0.793513048123628,0.104041157886584,0.129283079369308,432.978692405878,0.626227249318874,9,1506.77100000001,"sin_deg(x1)","p3(x1)","x5",1,1,1
