"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P2",15,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0318474316422671,-94.5244319535552,0.999961084697682,2,NA,"troot((x4*x6)*x4)","x6",NA,0.989225204691713,0.121343811148743,NA
"P3",15,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0325059493326651,-94.5244319535552,0.999961210958111,2,NA,"troot((x4*x6)*x4)","x4",NA,0.993199773043905,0.105444276020094,NA
"P4",15,FALSE,FALSE,FALSE,TRUE,1,0.502210167435913,0.00442141345149907,0.0450863231499289,-94.3406692127019,0.99979227093718,2,NA,"troot(x4*(x7*x4))","x10",NA,0.994377131275049,0.217060173525877,NA
"P6",15,FALSE,FALSE,FALSE,FALSE,5,0.496235106603011,0.496235106603011,0.0614925244800214,-99.877214903911,0.998820327290121,5,NA,"troot(x4*x4)","x4*x3","x2*x4",1,0.788667139652323,0.205780598365065
