"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3116.162,"x1","x2","x4",1,1,1
"S2",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3090.071,"x1","x2","x4",1,1,1
"S3",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3120.541,"x1","x2","x4",1,1,1
"S4",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3137.123,"x1","x2","x4",1,1,1
"S5",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3030.938,"x1","x2","x4",1,1,1
"S6",9,0.834590939956554,3.63826658410347,5.60531760406393,-3515.64749821121,0.689887046400868,11,3245.923,"x1","x2","x4",1,1,1
