"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P2",8,FALSE,FALSE,FALSE,TRUE,2,0.996003436972683,0.994005668260233,0.031855356856141,3,625.709999999999,"troot(1+((x4*x7)*x4))","x4","sigmoid(pm05(x4))*x9"
"P2","Mod",TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00183823308080183,1,649.86,"troot(x4*(x4*x6))","NA","NA"
"P2",10,FALSE,FALSE,TRUE,FALSE,2,0.790932772196495,0.686399262445923,0.00633099158802112,3,683.199999999997,"troot(((x9*x4)*x9)*x4)","troot(x4*x4)","x3*x4"
"P2",11,FALSE,FALSE,FALSE,FALSE,3,0.988044829538454,0.988044829538454,0.0341519452585559,3,673.799999999999,"troot(x4*x4)*sin(x7)","x4","troot(x4)*x9"
"P2",12,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.070371263037461,1,637.470000000001,"x9*troot(x4*x4)","NA","NA"
"P2",13,FALSE,FALSE,FALSE,FALSE,3,0.988045313943242,0.988045313943242,0.136943091826349,3,643.630000000001,"troot(x4*x4)","x4","x9*troot(x4)"
"P2",14,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0188751568448063,1,656.860000000001,"troot(x7*(x4*x4))","NA","NA"
"P2",15,FALSE,FALSE,FALSE,FALSE,4,0.995225003256697,0.995225003256697,0.100844394693802,4,649.310000000001,"troot(x4*x4)","x4","x4*pm05(x4)"
"P2",16,FALSE,FALSE,FALSE,FALSE,3,0.988045313943242,0.988045313943242,0.12923127389555,3,627.48,"troot(x4*x4)","x4","troot(x4)*x9"
"P2",17,FALSE,FALSE,FALSE,FALSE,4,0.989820033624832,0.989820033624832,0.0939749489967772,4,636.780000000002,"x4","troot(x4*x4)","(x9*x4)*pm05(x4)"
"P2",18,FALSE,FALSE,FALSE,FALSE,3,0.988045457953733,0.988045457953733,0.125686009763019,3,632.739999999998,"x4","x9*troot(x4)","(troot(x4)*troot(x4))*x9"
"P2",19,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0714479144433713,1,681.170000000002,"x9*troot(x4*x4)","NA","NA"
"P2",20,FALSE,FALSE,FALSE,FALSE,3,0.788552607527299,0.788552607527299,0.0815594790482803,3,614.16,"troot(x4*x4)","x4*x3","x4"
"P2",21,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0189381073281991,1,654.130000000001,"troot(x4*(x4*x7))","NA","NA"
"P2","Mod",FALSE,FALSE,FALSE,FALSE,2,0.982068314829844,0.982068314829844,0.162640505147844,2,656.66,"x4","troot(x4)*x9","NA"
"P2","Mod",FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0620036788996893,1,662.44,"troot(x4*(x9*x4))","NA","NA"
"P2",24,FALSE,FALSE,FALSE,FALSE,2,0.480915620559171,0.480915620559171,0.0692600294139278,2,622.700000000001,"troot(x4*x4)","x4*x8","NA"
"P2",25,FALSE,FALSE,FALSE,TRUE,0,0.999998974397583,NA,0.0199986185922622,1,619.110000000001,"troot(1+(x7*(x4*x4)))","NA","NA"
"P2","Mod",FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0873562520413896,3,660.360000000001,"troot(x4*x4)","x2*x4","x4"
"P2","Mod",FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0761935702399437,1,637.64,"troot(x4*x4)*x9","NA","NA"
"P2",28,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0644891877704405,1,749.839999999997,"x9*troot(x4*x4)","NA","NA"
"P2",29,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00189173855960973,1,637.779999999999,"troot(x4*(x4*x6))","NA","NA"
"P2",30,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.12466628085051,2,668.93,"troot(x4*x4)","x4","NA"
"P3",1,FALSE,FALSE,FALSE,FALSE,1,0.999999312170039,0.999999312170039,0.125016763105158,1,627.580000000002,"troot(x4*x4)","NA","NA"
"P3",2,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0193348960754577,1,572.279999999999,"troot((x7*x4)*x4)","NA","NA"
"P3",3,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0601342895104941,1,562.25,"x9*troot(x4*x4)","NA","NA"
"P3",4,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0616359833966482,1,572.920000000006,"troot(x4*(x9*x4))","NA","NA"
"P3","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.051385673357134,2,611.09,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"P3",6,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.062636220046018,1,576.110000000001,"x9*troot(x4*x4)","NA","NA"
