"","MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
"199",0.0769,0,1.37,1.65,7.79430132,0.123,0.764,0.872,0.07,5493,0.304978156217826
"200",0.0781,0,0.63,0.96,7.340711,0,1.18,1.12,0.42,6000,0.712076822916667
"201",0.0697,0,0.863,0.775,7.919585,0.1,0.719,0.613,-0.15,4650,1.85398274646705
"203",0.0254,0,1.03,1.49,1.5089557,0,0.95,1.11,-0.3,6298,0.311371184985016
"204",0.0617,2,0.026,0.206,5.398763,0.02,1.079,1.243,0.12,5793,2.97421039289777
"205",0.0522,0,5.01,1.515,3.6112706,0.059,1.45,1.93,-0.05,6450,1.4407871529237
"206",0.0464,0,0.81,0.89,3.91405,0,0.87,0.82,0.02,5000,1.14898669303189
"207",0.0394,0,3.6,1.19,2.718659,0.018,1.1,1.09,-0.13,6100,2.13629693103143
"208",0.0964,0,1.946,1.072,10.863502,0.19,1.013,1.08,0.22,5568,1.57964129979419
"209",0.0514,0,2.06,1.24,3.8559,0,1.22,1.36,-0.1,6250,1.080443758182
"210",0.0427,0,5.9,1.04,3.3564227,0.193,0.92,0.88,0.15,4955,5.2450785161584
"211",0.02624,0,2.279,1.269,1.5373653,0,1.02,0.943,-0.31,5881,1.11521719990983
"212",0.0517,0,0.42,1.4,4.61442,0,0.87,0.87,-0.07,5200,0.153061224489796
"213",0.05504,2,1.524,1.29,4.1137913,0,1.314,1.836,-0.034,6148,0.70993050227583
"214",0.0426,0,0.8,1.685,2.69404,0,1.418,1.683,0.21,6390,0.167220790205502
"217",0.0232,0,2.09,1.368,1.212884,0.106,1.13,1.203,0.15,5905,0.816371799110077
"219",0.051,0,0.75,1.26,3.67724,0,1.33,1.64,0.11,6325,0.374929513251509
"220",0.063,0,0.22,0.57,6.21229,0,0.88,0.77,0.3,5080,1.18794986851555
"222",0.0494,0,4.063,1.024,4.124461,0.228,0.947,1.105,0.01,5588,3.78396362066269
"223",0.0677,0,3.328,1.197,5.4527,0.441,1.392,1.535,0.22,6442,1.94044289465095
