"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",30,FALSE,FALSE,FALSE,FALSE,12,0.331291405957766,0.331291405957766,0.0786524252951173,513.63671865393,0.989495352662539,12,405.571,"(troot(1+(x4+(x3+(x10+p0(x3)))))*p0(1+(x4+(x8*x4))))*p0(x4)","p0(x4)","x3*x4",1,1,1
"P3",30,FALSE,FALSE,FALSE,FALSE,11,0.685712676695357,0.685712676695357,0.545414240440349,266.125716540245,0.486962459693597,11,364.755000000005,"x5*x4","x4","x5",1,1,1
"P6",30,FALSE,FALSE,FALSE,FALSE,14,0.649372739161793,0.649372739161793,0.00468864271868426,596.696562968334,0.999991588493081,14,395.197999999989,"p0(x4)","x4","troot(sigmoid(x4))",1,1,1
