"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",23,0.866905730668047,3.08912068601055,-976.823516179206,0.727663273965194,19,946.744999999999,"sigmoid(x13)*x9","x6*x9","x6",1,1,1
"P2",23,0.754444247570207,3.82518476505087,-974.785639456,0.0696983513025584,22,893.787999999993,"x6","x6*x10","x13*x10",1,1,0.999999999999978
"P3",23,0.857457453707661,3.14604651502829,-981.82954279904,0.688202330801156,21,1001.31899999999,"(x11*exp_dbl(x13))*x10","x11","x10*x13",0.999999999999198,0.999999999814805,0.999998345008253
"P4",23,0.833502643512113,3.39811599426783,-980.344043489491,0.583476344909276,15,914.523000000001,"p3(troot(sigmoid(x13)*x1))","x11","(x9*x6)*x6",1,0.999999999092733,0.999999999090484
"P5",23,0.891246463031728,2.83630600316493,-981.08348964159,0.793330057346041,12,961.789999999979,"p0(x13)*x10","x9","p3(x6)",0.999999999999994,0.999999999761693,0.999999978279554
"P6",23,0.630289158221783,4.36542421916129,-993.044458475776,-0.930790426793634,11,831.502999999997,"x6*p3(exp_dbl(x5*x13)*x1)","p3(x6)","x10*x6",1,1,1
