"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P5","Mod4",FALSE,FALSE,FALSE,FALSE,13,0.613210863012841,0.613210863012841,0.0328998606591597,13,222.375,"x4","x4*x3","x3"
"P5","Mo1",FALSE,FALSE,FALSE,FALSE,11,0.393537276952976,0.393537276952976,0.0287217848212864,11,235.554,"x4","x4*x3","troot(x4)*(x6*x4)"
"P5","Mod11",FALSE,FALSE,FALSE,FALSE,10,0.773114410138323,0.773114410138323,0.00243200665700072,10,197.473,"x4","x6*x4","troot(x4)"
"P5",34,FALSE,FALSE,FALSE,FALSE,7,0.810258489892544,0.810258489892544,0.00181417012069226,7,258.939999999995,"x4","troot((x4*(troot(troot(x4))*(x6*x4)))*p0(x4))","p0(x4)*troot((x4*(troot(troot(x4))*(x6*x4)))*p0(x4))"
"P5","Mod22",TRUE,FALSE,FALSE,FALSE,2,0.733218604274059,0.599827906411089,0.000857074154854913,3,244.611,"troot(x4*(x6*x4))","(x6*x4)*x2","x4"
"P6","Mod1111",FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155031990347947,5,244.42,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","(troot(x4)*troot(x4))*x7"
"P6",5,FALSE,FALSE,FALSE,FALSE,8,0.769736978228022,0.769736978228022,0.00881893447846192,8,227.006000000001,"p0(x4)*(x4*x9)","x9*x4","x2*x4"
"P6","Mod3333",FALSE,FALSE,FALSE,FALSE,13,0.502029856263073,0.502029856263073,0.00907023261585569,13,233.88,"x3*x4","x4","(x4*x8)*x4"
"P6",7,FALSE,FALSE,FALSE,FALSE,10,0.683913788279896,0.683913788279896,0.00237209846982879,10,274.167000000001,"x9","x4","troot(x4)*troot(x4)"
"P6",8,FALSE,FALSE,FALSE,FALSE,5,0.353211382192334,0.353211382192334,0.00173570208641449,5,252.824000000001,"(p0(x9)*troot(x4))*troot(x9*(x6*x4))","troot(x4*x4)","x7"
