"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S5",23,FALSE,FALSE,FALSE,FALSE,4,0.502496412913266,0.502496412913266,0.000926614156207349,0.00161310819090317,673.551428537307,0.999999912079808,4,729.761,"(x6*troot(x4))*troot(x4)","troot(x4)*troot(x4)","x9",1,1,0.549366104019964
"S6",23,FALSE,FALSE,FALSE,FALSE,5,0.624759981035616,0.624759981035616,0.00161531079016543,0.00240458001930034,696.427431941537,0.999999804637995,5,840.916,"troot(x4*x4)*x7","troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S1",24,FALSE,FALSE,FALSE,FALSE,3,0.644249638032866,0.644249638032866,0.000970228480244525,0.00164556139580419,673.488289482677,0.999999908506589,3,741.567,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x1",1,1,0.171220701917637
"S2",24,FALSE,FALSE,FALSE,FALSE,7,0.29569776307608,0.29569776307608,0.00116861872651896,0.00212239897808929,687.057141207125,0.999999847799636,7,821.348,"troot(x4*x4)","(x6*troot(x4))*troot(x4)","troot((x4*x8)*x4)",1,1,0.999411140206221
"S3",24,FALSE,FALSE,FALSE,FALSE,7,0.41160673628589,0.41160673628589,0.00152495577056319,0.00237881386261928,700.057650136979,0.999999808802347,7,784.196,"x7*troot(x4*x4)","x9*troot(x4*x4)","troot(x4*x4)",1,1,1
"S4",24,FALSE,FALSE,FALSE,FALSE,12,0.341648866536308,0.341648866536308,0.00264062858985143,0.00467471003801871,556.090945224596,0.999999261635188,12,830.748,"x4","x1","troot(1+(troot(x2)+(x4+x1)))*troot(1+(troot(x2)+(x4+x1)))",1,1,1
"S5",24,FALSE,FALSE,FALSE,FALSE,10,0.664782126005843,0.664782126005843,0.00460167425471937,0.0179191693573536,600.551697586637,0.999989150808275,10,820.557,"x4*p0(p0(1+x4))","x4","x4*x9",1,1,1
"S6",24,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155053761091972,0.00240726423306881,700.057650136979,0.999999804201589,5,769.880999999999,"troot(x4*x4)","x9*troot(x4*x4)","troot(x4*x4)*x7",1,1,1
"S1",25,FALSE,FALSE,FALSE,FALSE,6,0.494704933477715,0.494704933477715,0.00135493831513508,0.00204285032950041,668.551690201082,0.999999858994928,6,727.634,"x9*(troot(x4)*troot(x4))","(troot(x4)*troot(x4*x7))*x6","troot(x4)*troot(x4)",0.999999999979775,0.999999999979773,0.99999999976421
"S2",25,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917708490954736,0.00158983950219955,673.695386157929,0.999999914597968,4,737.7,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x9",1,1,0.5809418986918
"S3",25,FALSE,FALSE,FALSE,FALSE,3,0.668522345427436,0.668522345427436,0.000876332295254643,0.0016210600901005,670.057003347804,0.999999911210857,3,749.754,"troot(x4)*troot(x4)","troot(x4*x6)*troot(x4*x6)","x9",0.999999999999994,0.999880215287139,0.13395313350654
"S4",25,FALSE,FALSE,FALSE,FALSE,6,0.518774396626338,0.518774396626338,0.00172337555809073,0.00255886057489726,660.369221720661,0.999999778764467,6,769.68,"x9*(troot(x8+(x4*x4))*x9)","troot(x8+(x4*x4))","x7*troot((x4*x4))",1,1,1
"S5",25,FALSE,FALSE,FALSE,FALSE,10,0.75824516973096,0.75824516973096,0.0195733034808291,0.125015018814523,616.969626287506,0.999471936661542,10,740.398999999999,"(x5*x5)*x4","x4","(p0(x4)*(p0(x4)*troot(1+(x4*x6))))*x9",1,1,1
"S6",25,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000830881190114216,0.00180381761277432,682.554649827531,0.99999989006224,3,820.099,"troot(x4)*troot(x4*x6)","x4","x4*x6",1,0.999999994344606,0.99453405327224
"S1",26,FALSE,FALSE,FALSE,FALSE,14,0.419059177161309,0.419059177161309,3.98909445835046,29.0469871745991,567.708171696443,-27.5078077790229,14,731.14,"troot(x4)","troot(1+(((x3*x4)*x4)*troot(x4)))","sin_deg(x4)",1,1,1
"S2",26,TRUE,FALSE,FALSE,FALSE,2,0.714245609496639,0.571368414244959,0.000827106285792481,0.00161536168025787,669.387675116193,0.99999991183399,3,746.878,"troot(x6)*troot((x4*x4))","troot((x4*x4))","x5",1,1,0.349713619273401
"S3",26,FALSE,TRUE,FALSE,FALSE,7,0.233586569089567,0.124098993885459,0.00323311358021529,0.0112677396997755,587.679588722729,0.999995710217757,8,789.969,"troot(1+((x4*(x4*x9))+(troot(x4*x9)+(x1+x9))))","troot(1+((x4*x4)+(troot(x4)+(x1+1))))","p3(x5)",1,1,0.999999999996734
"S4",26,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,0.000959471460856115,0.00160213515493298,673.695386157929,0.999999913271879,5,772.312,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,1,0.670672292090912
