"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",34,FALSE,FALSE,FALSE,FALSE,11,0.862663437639398,0.862663437639398,0.0294705515140502,599.705815409442,0.998641041726783,11,391.741,"troot(x4*x4)","(x4*x4)*x3","x4*x6",1,1,1
"P2",34,FALSE,TRUE,FALSE,FALSE,3,0.491023623084247,0.321364948293435,0.00303326596221248,689.758049957918,0.999994137954839,4,404.696000000004,"troot((x4*x9)*x4)","troot((x4*x9)*x4)*x6","p3(x7)",1,1,0.999999057232526
"P3",34,FALSE,FALSE,FALSE,FALSE,12,0.510849665229737,0.510849665229737,NA,566.745099753676,NA,12,409.517,"x4*p3(p0(p3(x4)))","x4","x8*x4",1,1,1
"P4",34,FALSE,FALSE,FALSE,FALSE,4,0.536788519015968,0.536788519015968,0.00267051442689335,566.608038509859,0.999999562747006,4,344.741000000009,"troot((x4*x4)+(x10+(x4+x2)))","x6*troot((x4*x4)+(x10+(x4+x2)))","x10",1,1,0.999985268032654
"P5",34,FALSE,FALSE,FALSE,FALSE,8,NA,NA,3.61089419913835e+298,234.422821297625,-Inf,8,370.619999999995,"troot(x4)*((p0(x4)*sin_deg(x4))*(p0(x4)*sigmoid(x8)))","troot(x4)*troot(x4)","sigmoid(x8)",1,1,0.999999999999958
"P6",34,FALSE,FALSE,FALSE,FALSE,5,0.588123001862173,0.588123001862173,0.00176530982012435,681.302005018357,0.999999604206219,5,354.217000000004,"(troot(x4)*troot(x4))*x9","troot(x4)*troot(x4)","x7*((troot(x4)*troot(x4))*x7)",1,1,1
