"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S3",4,"Feature7","p0(x4)",0.00135242065894274,NA
"S4",4,"Feature1","x4",1,NA
"S4",4,"Feature2","x4*troot(x4)",0.999999999784661,NA
"S4",4,"Feature3","x4*x10",0.999992764891164,NA
"S4",4,"Feature4","x2",0.228026245227152,NA
"S4",4,"Feature5","sin_deg(x7)",0.00186983094795653,NA
"S4",4,"Feature6","x6*x4",0.00138140306106539,NA
"S4",4,"Feature7","troot(x4)",0.0011256852554398,NA
"S4",4,"Feature8","x4*x4",0.00103593811259061,NA
"S5",4,"Feature1","x4",1,NA
"S5",4,"Feature2","x4*p0(x4)",1,NA
"S5",4,"Feature3","(x2*x4)*x10",0.913859346074348,NA
"S5",4,"Feature4","x6",0.215921701164414,NA
"S5",4,"Feature5","x7",0.200523077604595,NA
"S5",4,"Feature6","x10",0.151680292067271,NA
"S5",4,"Feature7","p3(x4)",0.0871543233041492,NA
"S5",4,"Feature8","x2*x4",0.0860016294037576,NA
"S6",4,"Feature1","troot(x4*(x4*x6))",1,NA
"S6",4,"Feature2","x4",0.0998598577030657,NA
"S1",5,"Feature1","x4*x2",0.999958563098488,NA
"S1",5,"Feature2","troot(x4*x4)",0.999853330860896,NA
"S1",5,"Feature3","x4",0.0847341890717281,NA
"S2",5,"Feature1","x4",1,NA
"S2",5,"Feature2","x4*troot(x4)",0.999999999999884,NA
"S2",5,"Feature3","x10*x4",0.999999206718868,NA
"S2",5,"Feature4","x2",0.187008510051023,NA
"S2",5,"Feature5","x7",0.17906565756756,NA
"S2",5,"Feature6","p3(x4)",0.00214482481910202,NA
"S3",5,"Feature1","troot(x4*(x4*x7))",0.999277382657248,NA
"S3",5,"Feature2","x4",0.159956157790878,NA
"S3",5,"Feature3","p0(x4)",0.0226899805122574,NA
"S3",5,"Feature4","troot(x4)",0.0049636241704571,NA
"S3",5,"Feature5","x4*x7",0.00123583636926689,NA
"S3",5,"Feature6","x4*x6",0.00111905120960124,NA
"S4",5,"Feature1","x4*x3",0.99999582739552,NA
"S4",5,"Feature2","troot(x4*x4)",0.999995483031663,NA
"S4",5,"Feature3","x4",0.155637368217093,NA
"S5",5,"Feature1","troot(x4*x4)",1,NA
"S5",5,"Feature2","x2*x4",0.99355928233935,NA
"S5",5,"Feature3","x4",0.0846999346771684,NA
"S5",5,"Feature4","x2*(x4*x7)",0.00657037730512785,NA
"S6",5,"Feature1","x4",1,NA
"S6",5,"Feature2","x10*x4",0.999999999998006,NA
"S6",5,"Feature3","x4*troot(x4)",0.999999999215258,NA
"S6",5,"Feature4","x1",0.0728149313126972,NA
"S6",5,"Feature5","x5",0.00322220620271793,NA
"S6",5,"Feature6","x9",0.00322220315960943,NA
"S6",5,"Feature7","p3(x4)",0.00322220235936838,NA
"S1",6,"Feature1","troot(x4*x4)",1,NA
"S1",6,"Feature2","x4*x2",1,NA
"S1",6,"Feature3","x9",0.093510286638069,NA
"S1",6,"Feature4","x4",0.0848279662035983,NA
"S1",6,"Feature5","p0(x4)",0.00381222591795417,NA
"S1",6,"Feature6","x6*x6",0.00175689651528357,NA
"S2",6,"Feature1","troot(x7*(x4*x4))",1,NA
"S2",6,"Feature2","x2",0.260353304713686,NA
"S3",6,"Feature1","troot((x7*x4)*x4)",0.998159666722723,NA
"S3",6,"Feature2","x4",0.14939673640617,NA
"S3",6,"Feature3","x1",0.0616949754368541,NA
"S3",6,"Feature4","p0(x4)",0.0214530882297967,NA
"S3",6,"Feature5","x8*x4",0.00239879981718974,NA
"S3",6,"Feature6","troot(x4*x4)",0.00184329153446404,NA
"S4",6,"Feature1","troot(x4*x4)",0.999999775589496,NA
"S4",6,"Feature2","x4*x2",0.999999775589482,NA
"S4",6,"Feature3","x6",0.214174008628707,NA
"S4",6,"Feature4","x8",0.056321945006467,NA
"S6",6,"Feature1","troot(x4*x4)",1,NA
"S6",6,"Feature2","x4*x2",0.993560590849681,NA
"S6",6,"Feature3","x2",0.207008966767558,NA
"S6",6,"Feature4","x8",0.0147806858113595,NA
"S6",6,"Feature5","(x6*x4)*x2",0.00637626263366004,NA
"S1",7,"Feature1","troot(x4*x4)",1,NA
"S1",7,"Feature2","x4*x2",0.999999556292765,NA
"S1",7,"Feature3","x2",0.199493579982065,NA
"S1",7,"Feature4","x3",0.121165582800824,NA
"S1",7,"Feature5","x4",0.0826898645681318,NA
"S2",7,"Feature1","troot(x4*x4)",1,NA
"S2",7,"Feature2","x2*x4",0.999936870506794,NA
"S2",7,"Feature3","x4",0.0846130252141455,NA
"S3",7,"Feature1","troot(x4*x4)",0.999999999999993,NA
"S3",7,"Feature2","x4",0.997180605094555,NA
"S3",7,"Feature3","x9*x4",0.502848669539195,NA
"S3",7,"Feature4","x7*x4",0.496479994129625,NA
"S3",7,"Feature5","(x7*x4)*x7",0.00371889313888387,NA
"S4",7,"Feature1","troot(x4*x4)",1,NA
"S4",7,"Feature2","x4*x2",0.999999999999991,NA
"S4",7,"Feature3","x6",0.260140289047563,NA
"S4",7,"Feature4","x2",0.226249275548237,NA
"S4",7,"Feature5","x4",0.0855153600839723,NA
"S5",7,"Feature1","x4",1,NA
"S5",7,"Feature2","x4*p0(x4)",0.999999999964859,NA
"S5",7,"Feature3","(x4*x10)*x3",0.907504796537806,NA
"S5",7,"Feature4","x4*x10",0.0717048364127083,NA
"S5",7,"Feature5","p3(x4)",0.0708726833582417,NA
"S5",7,"Feature6","x2*(x4*x4)",0.0213745401376468,NA
"S6",7,"Feature1","x2*x4",1,NA
"S6",7,"Feature2","troot(x4*x4)",1,NA
