"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S2",9,0.716052027936386,3.71593527004326,11.6006490331178,1719.94499999999,"x13*x3","x10*(x6*x3)","exp_dbl(x13)*x3","troot(x3)","x11"
"S2",10,0.89632482150821,2.74566597469943,4.74066880015921,1966.56700000001,"exp_dbl(p0(sigmoid(x6)*p3(exp_dbl(troot(x13*x8)))))","x6*p0(x10)","p0(x10)","p3(1+(x6*(x9*x6)))*x5","x13*(x7*x12)"
"S2",11,0.708299879323571,3.41643809839328,7.47272055900502,2023.80099999999,"((x11+x8)*x3)*x12","troot(sigmoid(x13)*x1)","x12","x1","((x6*x8)*((x9*p3(x6))*(x9*p3(x6))))*x6"
"S2",12,0.90967871317768,2.67253147437349,4.21315192326226,1777.65700000001,"(x13*p0(x9*x6))*(x13*x9)","x13","troot(x6)","p0(x9*x6)","x7"
"S2",13,0.853277206226927,3.21247654991493,5.84264913685721,1649.682,"troot(p3(x6*(x6*exp_dbl(p0(x13)+x8))))","x12*x6","p3(x6*(x6*x7))","exp_dbl(x8)*x6","p3(x6)"
"S2",14,0.890416166932512,2.79442690615483,4.73935846052293,2015.993,"(x6*((x5*x7)*x6))*x6","x9","x12","(p3(x6)*x10)*(x6*x6)","x1*x1"
"S2",15,0.704413132107715,3.40741778132006,7.64787866095737,1865.189,"sigmoid(exp_dbl(x6))*x10","x1","p0(x3)","x7*x5","sigmoid(x13)*x1"
"S2",16,0.860311390508787,3.28835358652474,5.72115583154392,1851.792,"x10","(x6*(x7*x11))*p3(x6)","exp_dbl(x6)","x6*(x5*((x6*(x9*p3(x6)))*x9))","p3(x6)"
"S2",17,0.886598111610783,2.6428516182541,4.68767056578424,2078.948,"troot(x7*x9)","exp_dbl((x1*troot(p0(x1)))*(x13*exp_dbl(x13)))*(x5*(x1*x12))","p3(x11*p3(x6))","troot((x7*x9)*(x7*x9))*p3(x6)","x12*x7"
"S2",18,0.899214384698841,2.67473540778275,4.40978772538047,1874.58100000001,"(sigmoid(exp_dbl(x6))*x11)*p3(x6*x6)","(x5*x10)*p0(p0(x13))","(x9*p0(x7))*p0(p0(x13))","(x9*x6)*x6","x9*p0(x7)"
"S2",19,0.776755349845888,4.10831485739961,9.54982298941098,1641.351,"x10","x12*x7","x6*x11","exp_dbl(x13)","troot(x6)"
"S2",20,0.909574053074631,2.62898698019295,4.22456006084139,1850.46900000001,"x2","x5","x12","x10*p0(x6*x1)","x10*(x6*x10)"
"S2",21,0.852615064410082,3.11549149093795,6.12616935683204,1605.808,"sigmoid(p0(sigmoid(x6)))*x10","p0(x13*x10)","x7","x13*(x5*x10)","x7*((x12*x6)*x11)"
"S2",22,0.90919810926714,2.68168078453243,4.22981301822403,2100.35400000001,"x9","x5*x13","p3(x10*x6)","x6","x1"
"S2",23,0.912376561789832,2.55395546289219,4.12305521934692,2093.705,"troot(x10)*x13","x10","x8","troot((x7*x10)*x9)","p3(x6)"
"S2",24,0.813206928371934,3.54293841750045,7.41298675498385,1955.62000000001,"x1*sigmoid(x13)","p3(((x11*x6)*(x6*x6)))","((x11*(x11*x12))*x7)*x6","x9","x6"
"S2",25,0.831423150327711,3.32916225898455,6.65524852914001,1863.197,"troot(x10)","(x6*((x9*x13)*sigmoid(exp_dbl(x6))))*(p0(x7)*x9)","x8","p0(x7)*x9","p0(x10)"
"S2",26,0.818641366300865,3.45085707029609,7.00788275847284,1916.269,"x10","x7*((x6*troot(x1))*p3(x6))","x1*p3(sigmoid(1+x13))","p3(x6)","x5*p3(p3(x6)*x11)"
"S2",27,0.900453650012983,2.69636638830706,4.4142814929026,2094.28200000001,"x9","(x11*p0(x6*x3))*x6","x11*(x6*(x10*x3))","(x10*(x10*troot(exp_dbl(x5+(x13+p3(x5)))*(x5*x3))))*x6","x7*x12"
"S2",28,0.869163939494576,3.00156168350673,5.41749593909172,3005.212,"p3(p3(x6)*x6)","sigmoid(p0(x13*x8))","x6*(x13*(x10*x6))","troot(x1)","p3(x6)*x6"
"S2",29,0.893934975359798,2.65210179267008,4.51802281902938,2960.029,"(x6*(x11*(x12*x7)))*x6","p3(troot(x10)*p0(x11))*x6","(x6*(x11*x10))*x6","p3(p3(x6))","x8"
"S2",30,0.765887885911481,3.52751975099798,9.54921333362022,3352.24,"x12*x6","x9*p3(x6)","p3(x8)","x9","x6*exp_dbl(troot(x10))"
"S3",1,0.89210366395879,2.87936045408675,4.59201190420563,2463.05,"p0(x3)","x5*x9","x1","troot(troot(x6))","p3(x13)"
"S3",2,0.90679250436627,2.70231622064584,4.24350555465293,1500.45199999999,"(x13*x11)*x6","(x13*x11)*x10","x10*x13","p3(x8*((x13*x11)*x6))","x6"
"S3",3,-0.295630741831979,26.3972340668921,172.88692220347,2003.84699999998,"troot(1+(x6+(p3(x13)+x1)))","troot(x6)","x12","troot(x9)","x6"
"S3",4,0.735179864695877,4.13696334707465,11.4571371820692,2453.136,"troot(1+x1)","p3(p3(x6)*troot(x9))","x7","x6","p3(x6)*troot(p0(x10))"
"S3",5,0.80759990718475,3.3272714481591,7.20986013748872,2211.55100000001,"troot(x10)*sigmoid(exp_dbl(x6))","x5","(x6*x6)*x11","(x9*x6)*(x9*(troot(x10)*troot(x13)))","p3(x8)"
"S3",6,0.905140085436414,2.748288543774,4.33958920496457,2303.40700000001,"x6*x11","troot(x8)","(x9*x4)*(x13*x9)","p0(exp_dbl(x1))","x6*(x11*x9)"
"S3",7,0.867837592482101,3.11132370789622,5.01483732685671,2434.79399999999,"x1","p0(p0(x6))","x12*x6","x4","x5"
"S3",8,0.888302031439382,2.97557000325495,4.64942494864952,2355.641,"(x6*x13)*(x9*x6)","x1","sigmoid(x6)*p0(x5*x10)","(x5*x10)*x6","troot(x8)"
"S3",9,0.873807868057356,3.05389271252456,4.91969667515019,2533.027,"x1","(p3(x6)*x13)*x11","x4","x8","x10"
"S3",10,0.916885629584283,2.64695605905389,4.02483534178031,2437.16999999998,"x1","p0(1+(x8+(x6+(x13+x9))))*p0(x11)","x12","x10*p3(sigmoid(x8))","p3(x9)"
"S3",11,0.851295431725175,3.1801645166358,5.32519714187655,2498.69899999999,"x1","troot(x10)","x5","x6","x6*x5"
"S3",12,0.882815606734499,2.96261885973446,5.07989968182526,1608.921,"x11","x8","(x11*((p0(x9*x6)*p3(x6))*p3(x9*x4)))*(x6*x7)","p3(1+(x9+(p0(x13)*(x5*x6))))","troot(p3(p0(x13)*x6))"
"S3",13,0.508916537851149,3.95419595377887,9.87054538018639,2534.65599999999,"x8*((x13*x5)*x10)","p0(1+((x8*sigmoid(x13))+(sigmoid(x11)+x6)))","(sigmoid(x13)*x11)*x6","(x13*x5)*x10","x6"
"S3",14,0.905303751264051,2.81950822725266,4.31640242405928,2797.44200000001,"x7","exp_dbl(x6)","x8","x9","x6*x9"
"S3",15,0.259320533834953,4.55335277629584,14.1563733942398,2506.33100000001,"x9*x13","exp_dbl(x13)","sigmoid(x13)","x9","x1"
"S3",16,0.883509628937602,2.9063555239957,4.74081062804641,2490.77000000002,"x13*x10","p0(x6)","p0(troot(x13))","x8","x2"
"S3",17,0.182311394100478,4.64942773803493,15.7709323086853,2180.935,"p0(x6)","x2","x12","exp_dbl(x13)*(sigmoid(x13)*p3(x10))","p3(x6)*x10"
"S3",18,0.882440641588506,3.03048975397464,4.73589796826373,3490.918,"x5*x9","exp_dbl(p0(x10))","p0(1+x1)","p0(x12*x1)","x9"
"S3",19,0.872634371089353,3.02106752073805,5.2422960348616,2552.86499999999,"x11*p3(p3(1+x6))","(((x10*x11)*((x13*x5)*x6))*x11)*x10","x10*x11","(x6*troot(troot(sigmoid(x13*x5))))*x6","p0(x8)"
"S3",20,0.904521424158673,2.70627113753791,4.29293169688337,3363.34600000002,"x5*exp_dbl(troot(x13))","x6*x9","x10","(x6*x9)*x12","x6"
"S3",21,0.881227547204389,3.06107489840043,4.7837271585808,781.414999999979,"x1","x2","x10*x2","x4","x5"
"S3",22,0.753709955001629,3.51506847513421,6.80944018576513,3511.424,"x1","p3(x12)","p3(1+(x9+(p3(x6)+(x1+x11))))","x10","p3(x6)"
"S3",23,0.762207585066747,3.17956260085176,8.17642875625624,2441.88700000002,"p3(x6*x10)","x12","x6","x8","troot(x6)"
"S3",24,0.867075691589307,3.18872434655903,5.3560143171937,2489.125,"exp_dbl(x13)","x7","(exp_dbl(x13)*x1)*x13","troot(x13*(x13*x5))*exp_dbl(x1)","(x11*x12)*x7"
"S3",25,0.843511893002746,3.14845218865527,5.72745333871138,2692.09099999999,"x11*(x6*x12)","(x1*x12)*x9","x12*x9","x12","x9*exp_dbl(x13)"
"S3",26,0.828048622544629,3.42307994389332,6.72259466713053,2573.99500000002,"x1","x13*x8","x6*x10","x13","troot(x8)"
"S3",27,0.868699462279411,3.22997054154416,5.00582983786504,2276.576,"p3(x12*x13)","p0(x9)","p0(x10)","p0(x8)","x5"
"S3",28,0.854236544988944,3.20387870817971,5.28206439594833,2236.18100000001,"x1","p0(x6)","x5","exp_dbl(x6*x4)","x6"
"S3",29,0.908339818673159,2.59702117640186,4.22403435471647,2643.29800000001,"x1","((x6*x6)*p3(x6))*(x9*x6)","x5","x9*p0(x13)","p0(x13)"
"S3",30,0.925689928251652,2.60056476949716,3.82383997693553,2363.70799999998,"x10*(p3(x6)*x6)","((x13*x10)*sigmoid(x5*x8))*troot(x13)","(x13*x10)*sigmoid(x5*x8)","x10*sigmoid(x5*x8)","troot(x10)"
"S4",1,0.621417350918648,3.6538752116286,8.46904608090293,2258.049,"x11","x9*x13","p0(x6)","sigmoid(x13)","x7"
"S4",2,0.915981270147888,2.6097477855748,4.07033913060097,2149.59299999999,"x10*((x12*x10)*x11)","p3(p0(x10)*x6)*x11","(sigmoid(x13)*exp_dbl(x8*troot(sigmoid(x5))))*(x7*troot(exp_dbl(x13)))","sigmoid(x8)","x6*x6"
"S4",3,0.910103111742318,2.57701878902012,4.1850500314375,1806.53,"(x7*x12)*x13","x10*p0(x13)","x5","x6","p3(p0(x13))"
"S4",4,0.813382670451799,3.43938088037231,7.70579886144875,2271.23699999999,"x8*x13","p3(x6)","p0(x9)*x7","x12*sigmoid(x8*x13)","x7*x12"
"S4",5,0.911228447166855,2.45485018958164,4.14686428735057,1893.391,"((p3(x11*x6)*x6)*x11)*x6","x12*(x13*x7)","x1","x13*x12","x6*x6"
"S4",6,0.864014223260941,2.84944770597585,5.35672033431727,1748.35000000001,"p0(x1)*troot(x10)","p0(troot(x13))*x6","troot(x5*x8)","p0(x1)","x11*x6"
"S4",7,0.902647026664076,2.77604348067282,4.40623657838255,1865.38400000002,"x7*(x10*(x5*x7))","x6*(x11*x7)","x5*(p3(p0(x6*x6)*(x9*(x6*x6)))*p0(p0(x11)))","p0(troot(x9))","x9"
"S4",8,0.907585949705323,2.57882926909377,4.22710318869241,1797.85200000001,"p3(x6)","x10","(x3*exp_dbl(x6))*x9","x3*exp_dbl(x6)","exp_dbl((x3*exp_dbl(x6))*x9)"
"S4",9,0.904167368529539,2.59342057061119,4.36350664050641,1517.573,"x7*x12","((p3(x10)*x6)*x13)*sigmoid(p3(x10))","x6*(x11*(x7*x6))","exp_dbl(p0(x10))*x6","x12"
"S4",10,0.828907411686415,3.34620181572782,6.90579389912398,1797.38099999999,"p3(x10)","x13*(p3(x6)*(troot(x10*x6)*x6))","x11*x6","p0(p3(x10))","x1"
"S4",11,0.882330954842025,3.00227228072042,4.99369572430718,1561.88699999999,"(x5*x11)*(x12*x7)","p3(troot((x9*x13)*(x9*(x3*(x3*exp_dbl(x13))))))","x12*x5","(x5*x6)*x13","p0(x8)"
"S4",12,0.909669197472717,2.70577971006403,4.18898990754385,1649.94899999999,"troot(exp_dbl(x6)+((x5*x1)+x6))","x12","x1*x8","p3(x6)*x7","(x6*x6)*(p3(x6)*(x10*x6))"
"S4",13,0.892450659476471,2.87970872192913,4.56080811416302,1828.66,"x11","(x13*x10)*(x8*x10)","x13*x10","x13*x9","x11*((x1*x10)*troot(x5))"
"S4",14,0.791630037247647,3.48544134624632,7.49621759084949,1749.22500000001,"x5*x1","exp_dbl(x13)","(x12*x11)*(x7*x10)","x7*x10","x4"
"S4",15,0.850730730157069,3.21726166727702,6.35467572114702,1882.97199999998,"x5*troot(x1)","x1","x3*x9","exp_dbl(x8)","x6"
"S4",16,0.672363600159648,4.73920838710796,16.1582438019892,1916.94199999998,"x6*p3(exp_dbl(exp_dbl(1+(x8*x13))*x6))","(x3*troot(x9))*x6","x7*x6","x7","x12*x5"
"S4",17,0.816522273538167,3.4165850023178,7.35203011564989,1783.52299999999,"troot(x6)","x6*((x11*x6)*x9)","(x6*x9)*x11","x7*x11","troot(x12)"
"S4",18,0.896953437410875,2.59279702899547,4.466681993781,1619.96900000001,"x12*p3(x6)","x8","x13*x3","p3(x7)","(p0(exp_dbl(exp_dbl(troot(x13*x11))*x7))*(x11*x9))*x11"
"S4",19,0.841285038284714,3.37636649154688,6.40616340949676,1562.32000000001,"x9","troot(x6)","x12*x13","exp_dbl(x1*exp_dbl(x13))","p3(x5*((x6*x9)*(x5*x6)))*x6"
"S4",20,0.882932631266927,2.81797410188009,4.73515984013572,1918.174,"x9*p0(x13)","x12","exp_dbl(x6)","x9","x6*x8"
"S4",21,0.898252375936403,2.54489272175169,4.49167721846436,1849.10800000001,"(p3(x6)*(x5*x7))*x11","x8","((exp_dbl(x13)*(x7*p0(x9)))*x10)*x13","x11*(troot(x13*x13)*(x7*p0(x9)))","x6"
"S4",22,0.899455439696935,2.6642080553235,4.55574462482523,1852.19699999999,"p3(p3(x6))*p0(x6)","p0(x3)","sigmoid(x9)*x1","x3","(((x13*x10)*(x10*x6))*x10)*x6"
"S4",23,0.919687116623881,2.39032420331896,3.97325520883992,1987.95000000001,"x6","p3(x10)","p0(x12)","x10*(p0(1+(x13+(1+(x10*x13))))*x10)","p0(x6)"
"S4",24,0.857677027590881,3.1106873368634,6.0709597062537,2015.42799999999,"p3(x12)","exp_dbl((x5*x9)*sigmoid(x8))*x13","x5*(x5*(troot(x9)*x13))","x7*(p3(p3(x6))*x9)","p0(x11*x10)"
"S4",25,0.876795934508807,2.87103457581268,4.90123081024116,1739.592,"x10","sigmoid(exp_dbl(x6))*x11","x9*p3(x6)","x8","(x6*p3(x9*p3(sigmoid(x13))))*x3"
"S4",26,0.902296332552604,2.67451224583378,4.34618717347217,1994.60199999998,"p3(1+(x10*x6))*sigmoid(1+x9)","x8","p3(sigmoid(troot(x13))*x10)","x7*x12","x12"
"S4",27,0.878301113485866,2.89557629708745,5.00973320069418,2028.38700000002,"x11*(x8*x5)","x12*x6","x6","x11","x10"
"S4",28,0.860847855402249,3.12360630943274,5.80776717344927,2422.28499999997,"exp_dbl(troot(x13))","p0(x10)","((x5*x13)*(x6*x9))*troot(x13)","x12","x11*(x9*p3(x6))"
"S4",29,0.876862705440279,2.86845036131896,5.15707981492237,1929.23299999998,"troot(x13)","x6","x8","p0(x10)","p3(troot((x10*x10)*troot(x13*x10)))"
"S4",30,0.869294978122168,3.00639469325975,5.47285552520194,2020.26200000002,"p3(x6*p0(x10*((x6*(x5*x11))*troot(x11*x10))))","((x7*x13)*x12)*x7","troot(x9)","x6*x6","x13*p3(x13)"
"S5",1,0.884416639816115,2.83272022462734,4.8201142228014,2217.20200000002,"troot(x13)*x10","p3(exp_dbl(troot(x6)))*x13","x6*(x8*x6)","x9","p3(sigmoid(1+(exp_dbl(exp_dbl(x5*x5))*exp_dbl(p0(x11)))))*x6"
"S5",2,0.88132035517829,2.98821639473119,4.93418379311225,1622.69499999998,"(x6*x9)*p3(x6)","sigmoid(p0(x13))*sigmoid(x8)","x12","sigmoid(x8)*(troot(x1)*(x6*x9))","x7*x12"
"S5",3,0.927084441200274,2.62645605559248,3.78653366478363,2511.66100000002,"x4","exp_dbl(x6*x5)","p0(p3(1+(x13+x4)))","p0(1+(x6+(x4+x1)))","x9"
"S5",4,0.864814111909232,3.09983843891378,5.05987616687175,983.872000000032,"x2","p0(x10)","x4","x5","x6"
"S5",5,0.898837438828744,2.74441873105906,4.44388645640157,2332.84300000005,"x6*(x6*x9)","p3(x8)","x8*x7","x8","p0(x6)"
"S5",6,0.797927303676793,3.53127274274842,6.57548086007368,3414.82199999999,"x10*x6","x6","x11","x10","x12"
"S5",7,0.895505898141551,2.68174241190144,4.48036697162984,1714.266,"(x9*x13)*(x11*x1)","x9","x13*(exp_dbl(x13)*x9)","troot(x8)","p3(x13)*x13"
