"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",29,0.840976135292267,3.3001335599313,-978.109541593423,0.61583945792576,19,1022.513,"x10*x6","sigmoid(x13)*x10","x8",1,0.999999999654015,0.999996928965643
"P2",29,0.820344362495152,3.55246040240968,-964.662343241448,0.529100217264311,13,970.110000000001,"x10*x6","x6*x6","x11",1,1,0.999999999933855
"P3",29,0.883823027881717,3.08387762506936,-988.486680103425,0.78062924784503,17,961.330999999991,"x6*x9","x9*(x10*x13)","x5",1,0.999999999999996,0.99995547255449
"P4",29,0.892416439549906,2.83261753368469,-974.213101864299,0.795119478461934,12,920.318999999989,"p3(x6)","x9*exp_dbl(troot(x13))","x9*(p3(x6)*x11)",1,1,1
"P5",29,0.779827497821214,3.84246626787958,-991.47791094928,0.254970800619215,18,996.916999999987,"x6","x11","(x11*x13)*x10",0.999999999999817,0.999999999327712,0.99999901145554
"P6",29,0.834316949029981,3.40164520589258,-995.30260772975,0.680304799489639,12,773.784000000014,"x1*(exp_dbl(x13)*x9)","p3(x6)*x11","p3(x6)",1,1,1
