"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",5,0.900191175440187,2.811324180643,-964.427735109084,0.809646695021881,16,NA,"x6","x10","x11",1.54916019731153,1.21805325367399,1.00001690516292
"P2",5,0.895084581464009,2.78587098627346,-975.492263217478,0.800552854348925,9,NA,"x1","x11","x9",1.2472044880108,1.24440857333701,0.9965294197063
"P3",5,0.872078035402486,3.01424378925579,-971.541428299276,0.74577613268769,16,NA,"x5","x12","x1",1.29415372439773,1.23993683606133,1.19524564677584
"P4",5,0.901286298924327,2.74384254082931,-969.548744076033,0.811698091152576,14,NA,"x11","x12","x1",2.1354273152669,1.56760777638174,1.00142754762767
"P5",5,0.883709044344184,2.9800811521227,-965.889422763684,0.767697801964707,16,NA,"x8","x13","x1",1.56221712036306,1.36575664134876,1.25471221866482
"P6",5,0.811933664772021,3.61973035971099,-978.805735646604,0.491752257181609,23,NA,"x12","x1","x8",1.18986643808468,1.04158751080951,1.02581574179216
