"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",2,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0923073536137079,-99.5125191073178,0.996068315671641,3,357.061,"x4*x10","x4","x4*troot(x4)",0.999999954584528,0.999999112821565,0.976840752489373
"P2",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389870992727679,-96.7669448270559,0.999873062710492,2,383.366999999998,"troot(x4*x4)","x2*x4",NA,0.999999999146493,0.999999971058645,NA
"P3",2,FALSE,FALSE,FALSE,FALSE,8,0.457871742344799,0.457871742344799,0.0780172045589921,-101.98902512252,0.997970468896882,8,417.415000000001,"x4","x4*p0(x4)","x4*x10",0.999999999999728,0.981481635453998,0.799330412026196
"P5",2,FALSE,FALSE,FALSE,FALSE,5,0.621653074640132,0.621653074640132,0.171545736327461,-123.800467625719,0.983016924686173,5,431.478999999992,"x4","x8*x4","p3(x4)",1,0.999605544325347,0.99952028790725
"P6",2,FALSE,FALSE,FALSE,FALSE,5,0.773871885366099,0.773871885366099,0.0631965736144713,-105.57087505312,0.998942310052844,5,354.794999999998,"troot(x4)*x4","x4","x4*x4",0.99999999999208,0.999999999791386,0.999229676669012
