"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",27,0.87393688081407,2.94162412306634,-970.016329897576,0.741852008443256,13,NA,"x13","x11","x10",1.66322955051109,1.35998155787481,1.33366529631396
"P2",27,0.886137229126258,2.92750628831011,-972.282448059362,0.780930806679447,11,NA,"x11","x9","x6",1.71991351878447,1.60367746846297,1.51530617291093
"P3",27,0.883171063474769,2.91004094187448,-965.382453492079,0.773147493496423,13,NA,"x9","x6","x1",2.03902290164778,1.70494077479375,1.31888628019971
"P4",27,0.826024511580327,3.54764842310332,-969.796697201141,0.569448113037501,12,NA,"x11","x1","x8",1.34582689235249,1.34266242560515,1.09745834218931
"P5",27,0.858800771239563,3.14715686447219,-971.348339579158,0.709421347112756,18,NA,"x9","x5","x10",1.25346317319158,1.14747190298558,1.12188261667184
"P6",27,0.896797665709993,2.87436074498982,-972.807753008652,0.803889165375257,10,NA,"x8","x9","x11",1.45873727612188,1.22940648417952,1.00001829762014
