"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",6,0.87216950160897,3.01332716203484,-993.838771940121,0.760618133374758,15,986.78,"x11*x6","x11","p0(x13)",1,1,1
"P2",6,0.871235916054342,3.03173347684218,-968.462137395551,0.738323182088971,15,990.593000000001,"x13*x9","p3(x6)","x6*x9",1,1,1
"P3",6,0.868886921630427,3.13538292396141,-1008.9206839274,0.753100841334354,17,995.149999999994,"p0(x13)","x11*x6","x11",0.999999999999897,0.999999999417356,0.999999992210041
"P4",6,0.869287286629575,3.03563628242148,-971.032164286638,0.739235049496697,15,852.970000000001,"x9*exp_dbl(x13)","x13*x10","x6*x10",1,1,1
"P5",6,0.856031585556438,3.20286843916291,-977.668129707333,0.712448165512083,15,925.055000000008,"exp_dbl(x13)*x9","x13","x6*x10",1,0.999999999999966,0.999999624174514
"P6",6,0.819274309587255,3.5718563983048,-964.910959380276,0.529151367233066,11,915.559999999998,"x6*x6","x1*sigmoid(x13)","x10*x13",1,1,0.999999999998455
