"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",49,FALSE,FALSE,FALSE,FALSE,6,0.62412799769561,0.62412799769561,0.00128873603204444,526.396711335654,0.999999876720336,6,473.048,"(troot(1+(x8+(x8+(1+x4))))*troot(1+(x8+(x8+(1+x4)))))*x6","p0(x4)","troot(1+(x8+(x8+(1+x4))))*troot(1+(x8+(x8+(1+x4))))",1,1,1
"P5",49,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.00091426238485835,673.695386157929,0.999999915946609,4,382.75,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x9",1,1,0.576473101175035
