"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",11,0.883381876465689,4.82801204012003,2.92320230244845,-972.432150988107,0.769932037828988,16,NA,"x10","x6","x9",2.0634551798736,1.85044678281469,1.70358159556231
"P2",11,0.813777482148302,6.77101878891929,3.7061919733722,-971.438109521589,0.547490715252176,10,NA,"x1","x11","x10",1.4344494793493,1.00013662802866,0.999981963450657
"P3",11,0.827544496180755,6.94772287701202,3.48702096256035,-964.981873297932,0.523564151458564,13,NA,"x8","x12","x1",1.76185761849609,1.54296875928177,0.999999996070902
"P4",11,0.877435815039692,4.96437540413393,2.90173057454078,-968.630986876747,0.756752330944896,13,NA,"x7","x8","x1",1.49252012679893,1.0067205632686,1.00386854357712
"P5",11,0.856215747025667,5.74312199440447,3.18519438749118,-974.301724240779,0.674451618931488,21,NA,"x8","x1","x9",1.28160747415056,1.08398512796657,0.991572270045992
"P6",11,0.88507430857645,4.6871466547576,2.99003323124799,-976.640088144546,0.783161426635437,11,NA,"x6","x12","x5",2.06611832879761,1.99735586376122,1.21289287647828
