"Experiment","Run","Correlation","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",26,0.883910200630721,2.94560349690141,-974.444604948589,0.779775708203511,11,1006.79,"x6*x10","x6*x6","p0(p0(x13))*x10",1,1,0.999999999946277
"P2",26,0.793713021250219,3.72174115153024,-994.473317953859,0.446953955149156,13,915.876000000004,"x6","sigmoid(1+(x13*x8))*x13","x11*x6",1,0.999999999999994,0.999999997201056
"P3",26,0.392903432258711,10.1290685278905,-999.756067575197,-32.9448925667295,15,960.491999999998,"x6*x11","x13","(x13*x6)*x11",0.999999999999999,0.999999999999988,0.999999785996185
"P4",26,0.883377996179387,2.85243991041242,-969.75377556946,0.780224041662731,12,989.487999999998,"x9*exp_dbl(p0(x13))","p3(x6)","x9*p3(x6)",1,1,0.999999819983499
"P5",26,0.881679041661186,2.98417068180168,-981.685070465367,0.775394925826244,13,863.350000000006,"x10*p0(p0(x13))","x6","x10",1,1,1
"P6",26,0.890368793394298,2.9133796891871,-974.269376374681,0.792409390870182,13,860.293999999994,"x10","p0(p3(x13))*x10","x10*x6",1,1,1
