"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",32,FALSE,FALSE,FALSE,FALSE,6,0.482995156113163,0.482995156113163,0.00155870269786126,0.0024193107400546,700.057650136979,0.999999802237045,6,1905.072,"troot(x4*x4)","troot(x4*x4)*x7","p3(x5)",1,1,0.999999999991021
"S2",32,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.0015443927482452,0.00240414270657889,700.05765013698,0.999999804709048,5,2246.615,"troot(x4*x4)*x7","x9*troot(x4*x4)","troot(x4*x4)",1,1,1
"S3",32,FALSE,FALSE,FALSE,FALSE,10,0.568827214475602,0.568827214475602,0.0291315295215854,0.19014555504579,611.226367206615,0.998778386028816,10,2307.195,"x4*x2","x4","x4*x7",1,1,1
"S4",32,TRUE,FALSE,FALSE,FALSE,6,0.7020047355165,0.652338858102583,0.00132987762214352,0.00246610973478254,707.906025935219,0.999999794512016,7,2377.777,"troot(x4*(x6*x4))","x4","x4*x6",1,0.999999999978026,0.999999999869119
"S5",32,FALSE,FALSE,FALSE,FALSE,4,0.783897942784713,0.783897942784713,4.07199343979891e+294,Inf,600.74363822373,-Inf,4,2413.333,"troot(1+((x4*x4)+(x4+(x6*x4))))","troot(1+((x4*x4)+(x4+(x6*x4))))*x6","x5",1,1,0.999921243715774
"S6",32,FALSE,FALSE,FALSE,FALSE,7,0.212588106875551,0.212588106875551,0.00849905240860566,0.0523079548827093,686.806437259465,0.999907552085861,7,2334.303,"troot(x4*(x7*(x4*x9)))","x7*troot(x4*x4)","p3(x7)",1,1,0.99853721153925
