"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"624_fri_c0_100_5",100,6,"S1",7,0.797492846583016,0.109094584385138,0.131077848442862,61.6703059604615,0.594744552800992,5,464.516999999993,"x4","x2","x5",0.999999999999961,0.999999999535777,0.990659748714707
"626_fri_c2_500_50",500,51,"S1",7,0.982929622841538,0.0313778672366068,0.0408019630394886,558.933947646454,0.965730865452904,16,1203.93799999999,"x3","troot(cos_deg(sin_deg(x3)))","x2*p3(x2*x1)",1,1,1
"627_fri_c2_500_10",500,11,"S1",7,0.832506262236216,0.0818640815114737,0.108974443523256,251.136771305284,0.675149490753931,12,1379.33199999999,"x4","cos_deg(p2(x2))","x5",1,0.999999999988518,0.999999999787427
"628_fri_c3_1000_5",1000,6,"S1",7,0.843290104390997,0.0739333716016594,0.0927797449276452,640.058932753002,0.703809609952951,9,536.562999999995,"x2","x4","p3(x2)",1,1,1
"631_fri_c1_500_5",500,6,"S1",7,0.828413268064755,0.0911509002537991,0.120036573397035,269.643391781373,0.68495476520147,9,967.414999999979,"sin_deg(x2)","troot(sin_deg(x2))","p2(x3)",1,0.999999999979675,0.999999999967941
"633_fri_c0_500_25",500,26,"S1",7,0.94254818859531,0.0508399123052936,0.0656940998706191,446.663946299393,0.886525949782635,12,929.001999999979,"x3","x5","cos_deg(1+x3)",1,1,1
"634_fri_c2_100_10",100,11,"S1",7,0.69272013599087,0.1424209363711,0.205366800675133,32.6193684218201,0.278008600413699,10,487.489000000001,"x2","troot(x2)","x5",0.999999999995366,0.99995145338547,0.99967985901243
"635_fri_c0_250_10",250,11,"S1",7,0.928611986981246,0.0679402428394176,0.0817172921319146,161.901971603093,0.857807023566395,13,710.506000000023,"x4","x5","p2(x1)",1,0.999999999999976,0.999999998502773
"637_fri_c1_500_50",500,51,"S1",7,0.963880009232224,0.0371005219663208,0.0482027973854838,473.417694070505,0.926206640122076,14,1272.72500000001,"x2*(cos_deg(x1)*(sin_deg(x2)*x2))","x4","cos_deg(x1)*(sin_deg(x2)*x2)",1,1,1
"641_fri_c1_500_10",500,11,"S1",7,0.875798680314869,0.0690912457453336,0.110038243072904,362.90039751624,0.745629335221443,16,987.095000000001,"x5","troot(x2)","p2(x1)",1,1,1
"643_fri_c2_500_25",500,26,"S1",7,0.97284959654529,0.0320518515217499,0.0453114368684564,556.273643073435,0.941139732897728,19,1044.027,"x2*x1","x5","x2*x2",1,1,1
"644_fri_c4_250_25",250,26,"S1",7,0.962616905231035,0.0312824318173168,0.0403362016715202,252.972873062322,0.926274945700233,14,688.923999999999,"cos_deg(x3)","sin_deg(x2)","x2*x1",1,1,0.999999992215972
"645_fri_c3_500_50",500,51,"S1",7,0.988360375717483,0.0187564664435077,0.024763580555909,664.033485935156,0.975509028261297,18,1117.33199999999,"x1*x2","x2","sigmoid(cos_deg(p2(troot(x3))))",1,1,1
"646_fri_c3_500_10",500,11,"S1",7,0.943553837548032,0.039566161054774,0.0544552650233931,517.265157166025,0.890168627680189,15,1234.19200000001,"x4","x1","sin_deg(x1)",1,1,1
"647_fri_c1_250_10",250,11,"S1",7,0.866159842623163,0.083930126416296,0.110155370045435,106.104790196014,0.745190887366362,14,703.52900000001,"x4","cos_deg(x3)","sin_deg(x2)",1,0.999837053846383,0.999577922903766
"648_fri_c1_250_50",250,51,"S1",7,0.952824700706403,0.0462265835787006,0.064885721023205,221.50709785687,0.897287126095007,19,846.530999999988,"sin_deg(x2*(x1*x2))","x4","x1*(x2*x2)",1,1,1
"649_fri_c0_500_5",500,6,"S1",7,0.900249089236712,0.0633780617096671,0.0769237247073686,432.695811337431,0.808022178013229,9,1051.53899999999,"cos_deg(x1)","x4","x5",1,1,1
"650_fri_c0_500_50",500,51,"S1",7,0.974431575995921,0.0338794237443495,0.041618409750906,607.113668215913,0.948924049704033,16,1005.421,"cos_deg(x2)","x5","sin_deg(x1+x2)",1,1,1
"651_fri_c0_100_25",100,26,"S1",7,0.956567000549005,0.0553974182182322,0.0657582002454844,72.0524784738633,0.879125605104279,9,532.61599999998,"x5","x4","x2",1,1,1
"653_fri_c0_250_25",250,26,"S1",7,0.967773444943234,0.0438475527496638,0.052761124540168,230.075619815019,0.931363449510361,10,679.464000000007,"p3(troot(x3))","sin_deg(x2)*p2(x1)","x4",1,1,1
"654_fri_c0_500_10",500,11,"S1",7,0.934457829447591,0.0626690678896557,0.0728945946583965,389.474495741338,0.860070683999667,12,1037.462,"x4","x5","cos_deg(x2)",1,1,1
"656_fri_c1_100_5",100,6,"S1",7,0.857144877859763,0.115489608869795,0.1374897173209,37.1297048489542,0.729476982440041,9,501.633999999991,"troot(x1)","p3(x1)","x5",0.999999954596015,0.999999838167434,0.999938627663846
"657_fri_c2_250_10",250,11,"S1",7,0.799166833595034,0.107906235997333,0.135940878302276,105.642816380133,0.605628615911065,12,740.264999999985,"x4","sin_deg(x2)","p3(x2)",0.999999992573957,0.999999980401126,0.999999970580693
"658_fri_c3_250_25",250,26,"S1",7,0.971750542826945,0.0282427509787214,0.0368338709853743,290.364806123885,0.943146493137307,16,702.989000000001,"x2*((x1*x2)*x1)","x2*x1","p3(x2)",1,1,1
"659_sleuth_ex1714",47,8,"S1",7,0.839429807060908,0.0936170248271959,0.1557535730216,49.3423686064391,0.499469503400792,7,399.907999999996,"x6","x2","x5",0.977898934844991,0.970625921903169,0.884513382348861
"663_rabe_266",120,3,"S1",7,0.997119370679505,0.0168964566332634,0.0229020932302978,193.746773570062,0.994207312391582,5,311.587,"x1","x2","(x2*x2)*x1",1,1,0.999999999999992
"665_sleuth_case2002",147,7,"S1",7,0.537511534386919,0.127693197090041,0.180855062903482,35.7441630049496,0.285873718267333,7,395.492999999988,"troot(x6)","troot(x6)","x6",0.454198050196646,0.282083528644179,0.2643107709771
"666_rmftsa_ladata",508,11,"S1",7,0.769958940440912,0.0517065173063471,0.0735992003774204,520.689676065207,0.564603815907907,10,910.326000000001,"x2","x9","x5",0.999875553596103,0.99975668923445,0.93482147743127
"678_visualizing_environmental",111,4,"S1",7,0.691888993559337,0.125543944603378,0.161468219146174,33.9293704161408,0.433793243347544,3,355.255000000005,"x1","x2","x3",0.999370109963123,0.430956382161343,0.110481180230065
"687_sleuth_ex1605",62,6,"S1",7,0.750120355494337,0.10523916372935,0.133622982370518,16.7645544812617,0.479263877643905,5,353.339999999997,"x5","x3","x1",0.999999898735506,0.227697507107471,0.130743771643122
"690_visualizing_galaxy",323,5,"S1",7,0.972811641653316,0.0525733269995798,0.0635396774026681,332.674481656494,0.946220730625205,8,835.306000000011,"x2","p3(x2)","p3(p3(x2))",1,1,0.999947809646605
"695_chatfield_4",235,13,"S1",7,0.936800393755208,0.0465829175874969,0.0629105409350845,218.9559528713,0.875484529256601,6,496.062999999995,"x12","x7","x11",0.999999962694665,0.83125720153457,0.668317969193183
"706_sleuth_case1202",93,7,"S1",7,0.844688128624605,0.099177397423811,0.123741245866847,35.7244591473976,0.707839763262158,4,433.898000000016,"x5","x3*x5","x3",1,0.63043950245221,0.625443235640827
"712_chscase_geyser1",222,3,"S1",7,0.901720655870652,0.0769262103211935,0.103390475444146,111.02365926016,0.805502374305024,4,411.036000000022,"x2","x2","x1",0.666670217653956,0.666662756277218,0.520252787779108
"auto_insurance_losses",159,25,"S1",7,0.0965962528855892,0.281512378644743,0.346390084159785,55.7148122339242,-2.82675533464633,7,544.562000000005,"x11","x6","x4",0.999951126998367,0.999287934394319,0.952131300654264
"auto_insurance_price",193,24,"S1",7,0.172338654077063,0.446604368213719,0.520721398105919,181.529685553169,-6.07650980388513,11,581.145000000019,"x7","x15*x1","x15",0.999999999810752,0.999999985737249,0.999944656245491
"first_principles_ideal_gas",30,4,"S1",7,0.989819463263288,0.0253581514849284,0.0324994895410841,28.8158615447395,0.973529320259635,6,450.206999999995,"x1","troot(x3)","x1*x1",0.999999892063688,0.999992649173164,0.999874278598889
"first_principles_newton",30,4,"S1",7,0.62228186636938,0.209666087018656,0.248969917111871,-4.79166191623528,0.348605857294802,1,322.793000000005,"x1","NA","NA",0.799921911090298,"NA","NA"
"first_principles_planck",100,3,"S1",7,0.495236307753185,0.0982376761773128,0.231178530630779,114.294355180969,0.200847900598721,3,339.438999999984,"x1*sin_deg(x1)","x1","x1",0.997336890508974,0.5004437856771,0.5004437856771
"first_principles_rydberg",50,3,"S1",7,0.998811384941961,0.0140404265033344,0.0204763656640187,72.6561428580846,0.997263678944648,5,320.706000000006,"x1","x2*x1","p2(x1)",0.999994839886747,0.999984906884179,0.998769956209725
"nikuradse_1",362,3,"S1",7,0.978814344961404,0.0468087220597289,0.0613199586796913,291.871256993328,0.957268080720575,5,377.649999999994,"x1","x1*x1","p3(x1)",1,0.999999999999945,0.999999999999917
"solar_flare",1066,11,"S1",7,0.301017670768281,0.0484571674368376,0.0959579750524177,717.583239839457,0.0780152444366409,6,770.809999999998,"x3","x2","x4",0.999999109217464,0.997822369276832,0.636388131962283
"strogatz_bacres1",400,3,"S1",7,-0.810881369881954,1.19545030117847,1.22073313831969,744.302864403955,-26.1358201731419,5,661.536999999982,"p2(x2)","p2(x1)","cos_deg(x1)",1,0.851276932849182,0.834182951719175
"strogatz_bacres2",400,3,"S1",7,-0.210159964870262,0.29477980602941,0.344144732645763,839.870908679515,-0.261942836477582,5,375.186000000016,"p2(x2)*p2(x2)","x2","cos_deg(x1)",1,1,1
"strogatz_barmag1",400,3,"S1",7,0.998058824185415,27.5767542172675,27.6989173095382,435.776424732182,-24626.0129980599,5,388.491999999998,"x2","x2*x2","x1",0.999999999999995,0.999999999999921,0.99998114861595
"strogatz_barmag2",400,3,"S1",7,0.101555026312936,0.424528722825222,0.441762154185518,573.834937542033,-12.4633269047325,5,377.946999999986,"p2(x2*(x2*x2))","x2*x2","x2*(x2*x2)",1,1,1
"strogatz_glider1",400,3,"S1",7,-0.999999986515573,0.24351477802233,0.286497339213179,35.0569008836658,-0.750791587242175,2,422.198999999993,"x1","x1","NA",0.665159867110873,0.665073124421313,"NA"
"strogatz_glider2",400,3,"S1",7,-0.566847902646329,0.525455374305333,0.87981768290586,371.626317467075,-22.8173101200128,3,512.106999999989,"sigmoid(x1)","x1","x1",1,0.666666666666675,0.666666666666672
"strogatz_lv1",400,3,"S1",7,0.133584174583436,0.0510404315841612,0.0558168374556275,1377.24735860162,-2.53780424138387,5,385.157999999996,"x1","x2","sin_deg(x2)",1,1,1
"strogatz_lv2",400,3,"S1",7,0.243128611233065,0.132098398820851,0.172665167875944,1290.49958165598,-4.01128078788306,5,382.462,"x1","x2","sin_deg(x2)",1,1,1
"strogatz_predprey1",400,3,"S1",7,0.951012493825681,0.0747100497042556,0.135368704301337,981.193717513905,-0.205660998141334,5,383.737999999983,"x1","cos_deg(x1)","x2*x2",1,1,1
"strogatz_predprey2",400,3,"S1",7,0.578207546191257,0.247313105595323,0.303619928970066,447.296573598656,-0.232414803616011,5,372.633999999991,"x1","x2","cos_deg(x2)",1,1,1
"strogatz_shearflow1",400,3,"S1",7,0.0411230579873039,0.181576527004482,0.264735150873276,434.423358247914,-10.2249641729432,5,741.728000000003,"x2","cos_deg(x1)","x1",0.997042030821723,0.996910436415176,0.896647727366417
"strogatz_shearflow2",400,3,"S1",7,0.995964920153055,0.153146015144597,0.18398247952231,277.373173645738,-0.35006510919009,4,770.430000000022,"p3(x1)","sin_deg(x1)","x1",1,1,0.66666667019173
"strogatz_vdp1",400,3,"S1",7,0.0296303639911947,0.237862384204339,0.286287421288149,440.663078016388,-5.04171631974602,5,386.352000000014,"((x1*x2)*(x1*x2))*x1","(x1*x2)*(x1*x2)","x2",1,1,0.999999997172962
"strogatz_vdp2",400,3,"S1",7,-1,0.320602703381103,0.369477448205642,10407.6997547941,-0.759958342835712,4,355.84699999998,"x1","sin_deg(x1)","p3(x1)",1,0.99999998537362,0.999999985368522
