"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",18,0.890022513121099,4.59726207754719,2.91722484502082,-981.486427368537,0.791398233600792,16,1013.159,"x10*x6","x10","x11",1,1,0.99999999999993
"P2",18,0.801026922843268,7.29469001772905,3.81490110698836,-971.098510850741,0.474789814306038,11,1003.059,"x1","x5","x13",1,1,1
"P3",18,0.83102791104791,6.77162716609279,3.4939686451811,-963.37072849729,0.54740939552883,24,1064.69399999999,"x6","x6*x10","exp_dbl(x13)*x1",1,1,1
"P4",18,0.810792593400562,7.13187388434671,3.64007364379964,-970.065939282543,0.497973356774148,16,943.282999999996,"p3(x6)","x1","x1*sigmoid(x13)",1,1,1
"P5",18,0.908326903263369,4.21481920176117,2.54386018208284,-983.354876143541,0.824661471835944,14,784.385000000009,"x10*(exp_dbl(troot(x13))*(x10*x6))","x6*x10","troot(x11)",1,0.999999999996205,0.999999999954511
"P6",18,0.889757956747384,4.60134396584815,2.88658421830652,-985.537043542606,0.791027636009386,13,855.861000000004,"x10","x6","p0(x13)",1,1,1
