"Experiment","Run","F1","F2","F3","F4","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.922647855482168,0.922647855482168,45.871387167131,2,15.9729999999981,"x4","p3(x4)",""
"S1",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5954906107185,2,15.2639999999956,"x4","x4*x4",""
"S1",3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.574180682747044,0.574180682747044,7.4348232931825,3,17.2099999999919,"x4","p2(x4*sin_deg(x4))","x4*sin_deg(x4)"
"S2",1,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4083220765691,3,19.4499999999971,"x4","x4*x4","p3(x4)"
"S2",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5949540319918,2,20.721000000005,"x4","p2(x4)",""
"S2",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5951281266682,2,20.8169999999955,"x4*x4","x4",""
"S3",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.595252363653,2,22.1599999999889,"x4","x4*x4",""
"S3",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5957976111764,2,24.0729999999894,"x4","x4*x4",""
"S3",3,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.993924382724201,0.993924382724201,3.86997003459299,1,26.8740000000107,"x4","",""
"S4",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952809711215,2,20.8699999999953,"x4","x4*x4",""
"S4",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5953282835387,2,20.3889999999956,"x4","x4*x4",""
"S4",3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4301917079634,3,18.4619999999995,"x4","p2(x4)","p3(x4)"
"S5",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5951910905592,2,17.4379999999946,"x4","x4*x4",""
"S5",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5956477958905,2,19.7979999999952,"x4","x4*x4",""
"S5",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.595104821308,2,25.0060000000085,"x4","p2(x4)",""
"S6",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952523390457,2,19.4890000000014,"x4","x4*x4",""
"S6",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5954227910741,2,16.6879999999946,"x4*x4","x4",""
"S6",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5951904685467,2,12.3959999999934,"x4","x4*x4",""
"P1",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301972862046,0.959301972862046,16.5952793897073,2,13.0169999999925,"x4","p2(1+x4)",""
"P1",2,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.908026923893438,0.908026923893438,11.4757052718173,3,14.7510000000038,"x4","x10*x4","x4*x2"
"P1",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5930937375365,2,12.5339999999997,"x4","x4*x4",""
"P2",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5956666286049,2,14.9599999999919,"x4","x4*x4",""
"P2",2,FALSE,FALSE,FALSE,FALSE,FALSE,7,0.250503828381674,0.250503828381674,67.9307642717612,7,17.7140000000072,"x4","x9*p3(x4)","x8"
"P2",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.979126086010804,0.979126086010804,3.10307437330941,2,51.7069999999949,"troot(x4)","x7*x4",""
"P3",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952522191575,2,14.3210000000108,"x4","x4*x4",""
"P3",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5953253659948,2,14.3410000000003,"x4","x4*x4",""
"P3",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952402867913,2,14.8440000000119,"x4","x4*x4",""
"P4",1,FALSE,FALSE,FALSE,FALSE,FALSE,4,0.985605655750076,0.985605655750076,2.08888599711472,4,10.8220000000001,"x4","troot(x4)*x6","troot(x4)"
"P4",2,FALSE,FALSE,FALSE,FALSE,FALSE,10,0.319274182246846,0.319274182246846,107.762298498665,10,23.0770000000048,"x4","p2(p2(x4))","x10"
"P4",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5954711240574,2,17.3919999999925,"x4","x4*x4",""
"P5",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952103081442,2,17.125,"x4","p2(x4)",""
"P5",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5925633392,2,16.5599999999977,"x4","p2(x4)",""
"P5",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5955244600858,2,17.8969999999972,"x4","p2(x4)",""
"P6",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5955755346264,2,15.8660000000091,"x4","x4*x4",""
"P6",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5953389281614,2,16.1489999999903,"x4","x4*x4",""
"P6",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.982401709209847,0.982401709209847,2.6706362949474,2,16.3099999999977,"x9*x4","troot(x4)",""
