"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature","Taken"
"P5",5,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0591817949665898,1,582.139999999999,"x9*troot(x4*x4)","NA","NA"
"P5",6,FALSE,FALSE,FALSE,FALSE,3,0.997618822938587,0.997618822938587,0.0350898388789361,3,562.710000000003,"troot(x4*x4)*sin(x7)","troot(x4*x4)","x4"
"P5",7,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.053323570595684,2,606.260000000002,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"P5",8,FALSE,FALSE,FALSE,FALSE,4,0.995224990466945,0.995224990466945,0.0857902116198896,4,585.299999999999,"x4*pm05(x4)","x9*x4","troot(x4*x4)"
"P6",1,FALSE,FALSE,FALSE,FALSE,4,0.793306635804813,0.793306635804813,0.0575509087750735,4,645.169999999998,"troot(x4*x4)","x4*x2","x4","ja"
"P6",2,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0763882481187578,1,645.860000000001,"troot(x4*x4)*x9","NA","NA","ja"
"P6",3,FALSE,FALSE,FALSE,FALSE,4,0.731491967694508,0.731491967694508,0.105617827113548,4,631.360000000001,"troot(x4*x4)","x8*x4","x4","ja"
"P6",4,FALSE,FALSE,FALSE,FALSE,3,0.988267557528519,0.988267557528519,0.0565063014527555,3,681.119999999999,"x9*(troot(x4)*troot(x4))","x4","troot(x4)","ja"
"P6",5,FALSE,FALSE,FALSE,FALSE,3,0.390307280835956,0.390307280835956,NA,3,657.130000000001,"troot(x4*x4)","x4*x2","x8*x4","nei"
"P6",6,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0652936554940513,2,635.869999999999,"x9*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","NA","ja"
"P6",7,FALSE,FALSE,FALSE,FALSE,3,0.390307280835956,0.390307280835956,3.37090517320692e+272,3,667.66,"troot(x4*x4)","x4*x2","x4*x8","nei"
"P6",8,FALSE,FALSE,FALSE,FALSE,2,0.480915620559171,0.480915620559171,0.0783967393893906,2,672.110000000001,"troot(x4*x4)","x8*x4","NA","ja"
"Randomforest","1","NA","NA","NA","NA","NA","NA","NA",0.835043558789377,"NA","NA","NA","NA","NA"
