"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",13,FALSE,FALSE,FALSE,FALSE,7,0.425950965054298,0.425950965054298,0.00226982744578688,564.947548742081,0.999999267123019,7,519.133,"p3(x7)*(x4*x4)","troot(p3((x8*x2)*x4))","x4*x4",1,1,1
"P2",13,FALSE,FALSE,FALSE,FALSE,4,0.402964913742832,0.402964913742832,0.000967187963210683,683.748086912524,0.999999910252702,4,372.986000000001,"troot(x4*x4)","x6*troot(x4*x4)","x3",1,1,0.235364898237745
"P3",13,FALSE,FALSE,FALSE,FALSE,13,0.589754182008805,0.589754182008805,1.41406219984608,518.75113955206,-2.54717244405485,13,421.333999999995,"x4","x4*(x10*x4)","troot(x4*x3)*x4",1,1,1
"P4",13,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,0.000962843612842863,683.955183587772,0.999999914363009,5,374.490000000005,"x6*troot(x4*x4)","troot(x4*x4)","x9",1,1,0.682346680118368
"P5",13,FALSE,FALSE,FALSE,FALSE,4,0.492488235103005,0.492488235103005,0.00181895582430817,682.128657242619,0.99999971325431,4,416.452000000005,"troot(x4*x4)","(troot(x4*x4)*x9)*x6","x7",1,1,0.999999999608584
"P6",13,FALSE,FALSE,FALSE,FALSE,6,0.52361665536099,0.52361665536099,0.00142693262211086,666.730083378174,0.999999847745329,6,374.148000000001,"((troot(x4)*troot(x4))*(x6*x6))*x7","troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))",1,1,1
