"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",19,FALSE,FALSE,FALSE,FALSE,3,0.381478412441251,0.381478412441251,0.0382349836701205,-96.7669448270558,0.999878714062378,3,547.75,"troot(x4*x4)","x4*x2","x7",0.999999998320303,0.985003730647069,0.130633226535465
"P2",19,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0951197018893732,-99.5125191073178,0.99596419599138,4,584.319999999949,"x4","x4*x10","troot(x4)*x4",1,0.997605390001427,0.981645734486238
"P3",19,FALSE,FALSE,FALSE,FALSE,5,0.625572098677774,0.625572098677774,0.0385074158984991,-105.847869035597,0.999905819006761,5,549.580000000075,"troot(x4)*troot(x4)","x4","x4*x6",1,0.765143663549651,0.743355888523441
"P4",19,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438560448599983,-94.3406692127019,0.999799657246226,2,565.199999999953,"troot(x4*(x7*x4))","x4","NA",1,0.161560330438926,"NA"
"P5",19,FALSE,FALSE,FALSE,FALSE,4,0.568021232906383,0.568021232906383,0.0710795815127918,-105.007113618834,0.997936209658823,4,563.280000000028,"x4*x3","troot(x4)*troot(x4)","x2",1,1,0.14786732988543
"P6",19,FALSE,FALSE,FALSE,FALSE,5,0.646241691219096,0.646241691219096,0.0996441693207348,-106.061494221497,0.992677633520544,5,564.10999999987,"x4","x4*troot(x4)","x4*x3",1,1,0.999999781777838
