"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S2",10,0.919530160325373,2.72530820767737,4.35674361861658,-1259.36393912606,0.81265441441226,28,5299.431,"p0(x6)","sigmoid(sigmoid(x13*p0(x8)))","p3(x6*x6)*x10",1,1,1
"S3",10,0.836348995811662,3.32516577368727,6.78953161427174,-1292.63805767011,0.545012896826481,24,5440.395,"x7*(x6*x12)","(((x6*x11)*x13)*x5)*x7","x10*x11",1,1,1
"S4",10,0.712141673552303,3.56238929025216,10.7710044426053,-1279.58452563768,-0.145069552340472,22,5027.291,"(x10*x12)*exp_dbl(x1*x13)","x6*x6","p0(x6)*(((x6*p3(x6))*x9)*x9)",1,1,1
"S5",10,0.841432397165616,3.29803895248922,6.11831136925152,-1361.41370498294,0.630527085097882,24,4783.1,"p3(x6*p0(x7))","p3(exp_dbl(troot(x1))*p0(x10))","x10*(x5*x11)",1,1,1
"S6",10,0.897609984247349,2.64611066667933,4.47696794392891,-1320.13785567961,0.80217215218489,20,4901.697,"p3(x6)*x9","troot(x13)","x11*(x7*x6)",1,1,1
"S1",11,-0.330367511751715,73.9450883408694,577.100573702727,-1217.01696744606,-3286.17230215865,24,5842.185,"((x5*x13)*x6)*x10","troot(x6)","x8",1,1,1
"S2",11,0.858220774186919,3.14018450533037,6.08392979084131,-1244.8012365516,0.634667890978436,22,5193.036,"x7*(x7*x5)","x7*x6","x11*x7",1,1,1
"S3",11,0.923674392863735,2.52911899011198,3.94549202815434,-1305.12544757819,0.84635380935345,24,5393.714,"x11*(((p3(x6)*x11)*(p3(x6)*x11))*x5)","sigmoid(troot(x10))","x6*(x6*(p3(x6)*x13))",1,1,1
"S4",11,0.873084296767296,3.0066939828285,5.19272220621494,-1305.44147082938,0.733860316213959,18,4859.494,"x7*(x7*x12)","troot(x1)","x6*p0(troot((troot(x8)*x11)*x13))",1,1,1
"S5",11,0.770183480341263,3.56376333961509,8.65823560855825,-1263.83921304976,0.260091091633449,28,5101.05,"(x6*x10)*exp_dbl(x1*x3)","(x12*exp_dbl(x13))*(x5*x1)","troot(x3)",1,1,1
"S6",11,0.879564674823162,2.73909628922194,4.85538992683645,-1289.84465536875,0.767315377566343,24,4605.443,"(p0(x10*x13)*p3(x10))*sigmoid(x7*x5)","p3(x10)","x5",1,1,1
