"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",26,TRUE,FALSE,FALSE,FALSE,2,0.309646220439831,-0.035530669340253,0.0306705696305758,-94.5244319535552,0.999960882318413,3,599.609999999986,"troot(x4*(x4*x6))","x10","x6",1,0.307058977776057,0.107689789921043
"P2",26,FALSE,FALSE,FALSE,FALSE,3,0.381478412441251,0.381478412441251,0.0387902269347893,-96.7669448270558,0.999878800840234,3,586.099999999977,"troot(x4*x4)","x4*x2","x7",1,1,0.153912570685813
"P3",26,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0950150216546312,-99.5125191073178,0.995993094587922,4,559.390000000014,"x4","x4*x10","troot(x4)*x4",0.99999922400265,0.999990486551731,0.990205753119497
"P4",26,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0399834843147886,-96.7669448270558,0.999873251622468,3,598.609999999986,"troot(x4*x4)","x2*x4","x2",1,0.982765995091444,0.166279728401873
"P5",26,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0925278327792622,-99.5125191073178,0.996040617541585,3,564.969999999972,"x4","x4*x10","troot(x4)*x4",1,0.999999950447384,0.982526320957431
"P6",26,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0439607462886526,-94.3406692127019,0.999799377217701,2,599.15000000014,"troot((x4*x7)*x4)","x4","NA",0.999999924770342,0.151419135853254,"NA"
