"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",20,FALSE,FALSE,FALSE,FALSE,4,0.830114498760847,0.830114498760847,0.113157442864675,-107.75189182951,0.994682064312176,4,358.229000000001,"x4","x4*x4","x10*x4",1,0.999999999998043,0.997828643138017
"P2",20,FALSE,FALSE,FALSE,FALSE,4,0.745037798480163,0.745037798480163,0.0523615103026032,-102.237348925172,0.999286139515057,4,375.178,"x4*p0(x4)","x4","x4*x6",1,0.999851691342871,0.999818602805605
"P3",20,FALSE,FALSE,FALSE,FALSE,4,0.657158781620218,0.657158781620218,0.0431124368712437,-105.847869035597,0.99982945300242,4,392.227999999996,"troot(x4)*troot(x4)","x6*x4","x4",0.999999999999903,0.999999493004381,0.99999836533109
"P4",20,FALSE,FALSE,FALSE,FALSE,5,0.355943630696546,0.355943630696546,0.0705185860314864,-110.847840844317,0.99795162183766,5,360.589999999997,"troot(x4)*troot(x4)","troot(x4)*x2","x4",1,0.999993298113141,0.998834345564978
"P5",20,FALSE,FALSE,FALSE,FALSE,5,0.374728065220897,0.374728065220897,0.0527106390108618,-102.261979538543,0.99928707053569,5,387.786000000007,"x4","x4*x8","x4*p0(x4)",1,0.999999923627234,0.999999871038207
